工作表,行,列,原始地址(HMI),Modbus地址(0-based),FUXA地址(1-based),标签名,类型,字数,比例
D3,4,2,D3000,4x3000,4X3001,合模起始,ushort,1字,1
D3,5,2,D3001,4x3001,4X3002,合模结束,ushort,1字,1
D3,6,2,D3002,4x3002,4X3003,座进起始,ushort,1字,1
D3,7,2,D3003,4x3003,4X3004,座进结束,ushort,1字,1
D3,8,2,D3004,4x3004,4X3005,射出起始,ushort,1字,1
D3,9,2,D3005,4x3005,4X3006,射出结束,ushort,1字,1
D3,10,2,D3006,4x3006,4X3007,储料起始,ushort,1字,1
D3,11,2,D3007,4x3007,4X3008,储料结束,ushort,1字,1
D3,12,2,D3008,4x3008,4X3009,抽胶起始,ushort,1字,1
D3,13,2,D3009,4x3009,4X3010,抽胶结束,ushort,1字,1
D3,14,2,D3010,4x3010,4X3011,座退起始,ushort,1字,1
D3,15,2,D3011,4x3011,4X3012,座退结束,ushort,1字,1
D3,16,2,D3012,4x3012,4X3013,开模起始,ushort,1字,1
D3,17,2,D3013,4x3013,4X3014,开模结束,ushort,1字,1
D3,18,2,D3014,4x3014,4X3015,引阀起始,ushort,1字,1
D3,19,2,D3015,4x3015,4X3016,引阀结束,ushort,1字,1
D3,20,2,D3016,4x3016,4X3017,托模进起始,ushort,1字,1
D3,21,2,D3017,4x3017,4X3018,托模进结束,ushort,1字,1
D3,22,2,D3018,4x3018,4X3019,托模退起始,ushort,1字,1
D3,23,2,D3019,4x3019,4X3020,托模退结束,ushort,1字,1
D3,4,6,D3100,4x3100,4X3101,合模电子尺行程,int,2字,1
D3,6,6,D3102,4x3102,4X3103,合模机械行程,int,2字,1
D3,8,6,D3104,4x3104,4X3105,合模现在位置,int,2字,0.01
D3,10,6,D3106,4x3106,4X3107,合模绝对位置,int,2字,0.01
D3,12,6,D3108,4x3108,4X3109,合模限长,int,2字,1
D3,14,6,D3110,4x3110,4X3111,合模最小校正保存值,int,2字,1
D3,16,6,D3112,4x3112,4X3113,合模最大校正保存值,int,2字,1
D3,18,6,D3114,4x3114,4X3115,合模最小校正,ushort,1字,1
D3,19,6,D3115,4x3115,4X3116,合模最大校正,ushort,1字,1
D3,20,6,D3116,4x3116,4X3117,合模功能选择,ushort,1字,1
D3,21,6,D3117,4x3117,4X3118,合模,ushort,1字,1
D3,22,6,D3118,4x3118,4X3119,合模_1,ushort,1字,1
D3,23,6,D3119,4x3119,4X3120,合模_2,ushort,1字,1
D3,24,6,D3120,4x3120,4X3121,螺杆电子尺行程,int,2字,1
D3,26,6,D3122,4x3122,4X3123,螺杆机械行程,int,2字,1
D3,28,6,D3124,4x3124,4X3125,螺杆现在位置,int,2字,0.01
D3,30,6,D3126,4x3126,4X3127,螺杆绝对位置,int,2字,0.01
D3,32,6,D3128,4x3128,4X3129,螺杆限长,int,2字,1
D3,34,6,D3130,4x3130,4X3131,螺杆最小校正保存值,int,2字,1
D3,36,6,D3132,4x3132,4X3133,螺杆最大校正保存值,int,2字,1
D3,38,6,D3134,4x3134,4X3135,螺杆最小校正,ushort,1字,1
D3,39,6,D3135,4x3135,4X3136,螺杆最大校正,ushort,1字,1
D3,40,6,D3136,4x3136,4X3137,螺杆功能选择,ushort,1字,1
D3,41,6,D3137,4x3137,4X3138,螺杆,ushort,1字,1
