工作表,行,列,原始地址(HMI),Modbus地址(0-based),FUXA地址(1-based),标签名,类型,字数,比例,单位,HMI显示,只读,控件类型,枚举选项,段索引,段数寄存器,保存历史,范围
D0,46,8,D0141,4x0141,4X142,调模进流量1,ushort,1字,0.1,,开合模,false,,,0,-1,是,
D0,47,8,D0142,4x0142,4X143,调模进时间1,ushort,1字,0.1,,开合模,false,,,0,-1,是,
D0,48,8,D0143,4x0143,4X144,调模退压力1,ushort,1字,0.1,,开合模,false,,,0,-1,是,
D0,49,8,D0144,4x0144,4X145,调模退流量1,ushort,1字,0.1,,开合模,false,,,0,-1,是,
D0,50,8,D0145,4x0145,4X146,调模退时间1,ushort,1字,0.1,,开合模,false,,,0,-1,是,
D0,5,11,D0150,4x0150,4X151,开模1压力1,ushort,1字,0.1,,开合模,false,,,1,199,是,
D0,6,11,D0151,4x0151,4X152,开模1流量1,ushort,1字,0.1,,开合模,false,,,1,199,是,
D0,7,11,D0152,4x0152,4X153,开模1位置1,int,2字,0.01,,开合模,false,,,1,199,是,0~300
D0,9,11,D0154,4x0154,4X155,开模1时间1,ushort,1字,0.1,,开合模,false,,,1,199,是,
D0,10,11,D0155,4x0155,4X156,开模2压力1,ushort,1字,0.1,,开合模,false,,,2,199,是,
D0,11,11,D0156,4x0156,4X157,开模2流量1,ushort,1字,0.1,,开合模,false,,,2,199,是,
D0,12,11,D0157,4x0157,4X158,开模2位置1,int,2字,0.01,,开合模,false,,,2,199,是,D152~300
D0,14,11,D0159,4x0159,4X160,开模2时间1,ushort,1字,0.1,,开合模,false,,,2,199,是,
D0,15,11,D0160,4x0160,4X161,开模3压力1,ushort,1字,0.1,,开合模,false,,,3,199,是,
D0,16,11,D0161,4x0161,4X162,开模3流量1,ushort,1字,0.1,,开合模,false,,,3,199,是,
D0,17,11,D0162,4x0162,4X163,开模3位置1,int,2字,0.01,,开合模,false,,,3,199,是,D157~300
D0,19,11,D0164,4x0164,4X165,开模3时间1,ushort,1字,0.1,,开合模,false,,,3,199,是,
D0,20,11,D0165,4x0165,4X166,开模4压力1,ushort,1字,0.1,,开合模,false,,,4,199,是,
D0,21,11,D0166,4x0166,4X167,开模4流量1,ushort,1字,0.1,,开合模,false,,,4,199,是,
D0,22,11,D0167,4x0167,4X168,开模4位置1,int,2字,0.01,,开合模,false,,,4,199,是,D162~300
D0,24,11,D0169,4x0169,4X170,开模4时间1,ushort,1字,0.1,,开合模,false,,,4,199,是,
D0,25,11,D0170,4x0170,4X171,开模5压力1,ushort,1字,0.1,,开合模,false,,,5,199,是,
D0,26,11,D0171,4x0171,4X172,开模5流量1,ushort,1字,0.1,,开合模,false,,,5,199,是,
D0,27,11,D0172,4x0172,4X173,开模5位置1,int,2字,0.01,,开合模,false,,,5,199,是,D167~300
D0,29,11,D0174,4x0174,4X175,开模5时间1,ushort,1字,0.1,,开合模,false,,,5,199,是,
