工作表,行,列,原始地址(HMI),Modbus地址(0-based),FUXA地址(1-based),标签名,类型,字数,比例
D4,11,6,D4106,4x4106,4X4107,储料速度启动斜率,ushort,1字,1
D4,12,6,D4107,4x4107,4X4108,储料速度停止斜率,ushort,1字,1
D4,15,6,D4110,4x4110,4X4111,储料1段压力斜率,ushort,1字,0.1
D4,16,6,D4111,4x4111,4X4112,储料2段压力斜率,ushort,1字,0.1
D4,17,6,D4112,4x4112,4X4113,储料3段压力斜率,ushort,1字,0.1
D4,18,6,D4113,4x4113,4X4114,储料4段压力斜率,ushort,1字,0.1
D4,19,6,D4114,4x4114,4X4115,储料5段压力斜率,ushort,1字,0.1
D4,20,6,D4115,4x4115,4X4116,储料6段压力斜率,ushort,1字,0.1
D4,21,6,D4116,4x4116,4X4117,储料7段压力斜率,ushort,1字,0.1
D4,22,6,D4117,4x4117,4X4118,储料8段压力斜率,ushort,1字,0.1
D4,25,6,D4120,4x4120,4X4121,储料1段速度斜率,ushort,1字,1
D4,26,6,D4121,4x4121,4X4122,储料2段速度斜率,ushort,1字,1
D4,27,6,D4122,4x4122,4X4123,储料3段速度斜率,ushort,1字,1
D4,28,6,D4123,4x4123,4X4124,储料4段速度斜率,ushort,1字,1
D4,29,6,D4124,4x4124,4X4125,储料5段速度斜率,ushort,1字,1
D4,30,6,D4125,4x4125,4X4126,储料6段速度斜率,ushort,1字,1
D4,31,6,D4126,4x4126,4X4127,储料7段速度斜率,ushort,1字,1
D4,32,6,D4127,4x4127,4X4128,储料8段速度斜率,ushort,1字,1
D4,36,6,D4131,4x4131,4X4132,射退调模压力启动斜率,ushort,1字,0.1
D4,37,6,D4132,4x4132,4X4133,射退调模压力停止斜率,ushort,1字,0.1
D4,38,6,D4133,4x4133,4X4134,射退调模速度启动斜率,ushort,1字,1
D4,39,6,D4134,4x4134,4X4135,射退调模速度停止斜率,ushort,1字,1
D4,40,6,D4135,4x4135,4X4136,射退压力启动斜率,ushort,1字,0.1
D4,41,6,D4136,4x4136,4X4137,射退压力停止斜率,ushort,1字,0.1
D4,42,6,D4137,4x4137,4X4138,射退速度启动斜率,ushort,1字,1
D4,43,6,D4138,4x4138,4X4139,射退速度停止斜率,ushort,1字,1
D4,45,6,D4140,4x4140,4X4141,前射退段压力斜率,ushort,1字,0.1
D4,46,6,D4141,4x4141,4X4142,后射退段压力斜率,ushort,1字,0.1
D4,47,6,D4142,4x4142,4X4143,前射退段速度斜率,ushort,1字,1
D4,48,6,D4143,4x4143,4X4144,后射退段速度斜率,ushort,1字,1
D4,5,8,D4150,4x4150,4X4151,座台进调模压力启动斜率,ushort,1字,0.1
D4,6,8,D4151,4x4151,4X4152,座台进调模压力停止斜率,ushort,1字,0.1
D4,7,8,D4152,4x4152,4X4153,座台进调模速度启动斜率,ushort,1字,1
D4,8,8,D4153,4x4153,4X4154,座台进调模速度停止斜率,ushort,1字,1
D4,9,8,D4154,4x4154,4X4155,座台进压力启动斜率,ushort,1字,0.1
D4,10,8,D4155,4x4155,4X4156,座台进压力停止斜率,ushort,1字,0.1
D4,11,8,D4156,4x4156,4X4157,座台进速度启动斜率,ushort,1字,1
D4,12,8,D4157,4x4157,4X4158,座台进速度停止斜率,ushort,1字,1
D4,15,8,D4160,4x4160,4X4161,座台进1段压力斜率,ushort,1字,0.1
D4,16,8,D4161,4x4161,4X4162,座台进2段压力斜率,ushort,1字,0.1
D4,20,8,D4165,4x4165,4X4166,座台进1段速度斜率,ushort,1字,1
D4,21,8,D4166,4x4166,4X4167,座台进2段速度斜率,ushort,1字,1
D4,30,8,D4175,4x4175,4X4176,座台退调模压力启动斜率,ushort,1字,0.1
D4,31,8,D4176,4x4176,4X4177,座台退调模压力停止斜率,ushort,1字,0.1
D4,32,8,D4177,4x4177,4X4178,座台退调模速度启动斜率,ushort,1字,1
D4,33,8,D4178,4x4178,4X4179,座台退调模速度停止斜率,ushort,1字,1
D4,34,8,D4179,4x4179,4X4180,座台退压力启动斜率,ushort,1字,0.1
D4,35,8,D4180,4x4180,4X4181,座台退压力停止斜率,ushort,1字,0.1
D4,36,8,D4181,4x4181,4X4182,座台退速度启动斜率,ushort,1字,1
D4,37,8,D4182,4x4182,4X4183,座台退速度停止斜率,ushort,1字,1
D4,40,8,D4185,4x4185,4X4186,座台退1段压力斜率,ushort,1字,0.1
D4,41,8,D4186,4x4186,4X4187,座台退2段压力斜率,ushort,1字,0.1
D4,45,8,D4190,4x4190,4X4191,座台退1段速度斜率,ushort,1字,1
D4,46,8,D4191,4x4191,4X4192,座台退2段速度斜率,ushort,1字,1
D4,5,10,D4200,4x4200,4X4201,托模进调模压力启动斜率,ushort,1字,0.1
D4,6,10,D4201,4x4201,4X4202,托模进调模压力停止斜率,ushort,1字,0.1
D4,7,10,D4202,4x4202,4X4203,托模进调模速度启动斜率,ushort,1字,1
D4,8,10,D4203,4x4203,4X4204,托模进调模速度停止斜率,ushort,1字,1
D4,9,10,D4204,4x4204,4X4205,托模进压力启动斜率,ushort,1字,0.1
D4,10,10,D4205,4x4205,4X4206,托模进压力停止斜率,ushort,1字,0.1
D4,11,10,D4206,4x4206,4X4207,托模进速度启动斜率,ushort,1字,1
D4,12,10,D4207,4x4207,4X4208,托模进速度停止斜率,ushort,1字,1
D4,15,10,D4210,4x4210,4X4211,托模进1段压力斜率,ushort,1字,0.1
D4,16,10,D4211,4x4211,4X4212,托模进2段压力斜率,ushort,1字,0.1
D4,17,10,D4212,4x4212,4X4213,托模进3段压力斜率,ushort,1字,0.1
D4,18,10,D4213,4x4213,4X4214,托模保持段压力斜率,ushort,1字,0.1
D4,20,10,D4215,4x4215,4X4216,托模进1段速度斜率,ushort,1字,1
D4,21,10,D4216,4x4216,4X4217,托模进2段速度斜率,ushort,1字,1
D4,22,10,D4217,4x4217,4X4218,托模进3段速度斜率,ushort,1字,1
D4,23,10,D4218,4x4218,4X4219,托模保持段速度斜率,ushort,1字,1
D4,30,10,D4225,4x4225,4X4226,托模退调模压力启动斜率,ushort,1字,0.1
D4,31,10,D4226,4x4226,4X4227,托模退调模压力停止斜率,ushort,1字,0.1
D4,32,10,D4227,4x4227,4X4228,托模退调模速度启动斜率,ushort,1字,1
D4,33,10,D4228,4x4228,4X4229,托模退调模速度停止斜率,ushort,1字,1
D4,34,10,D4229,4x4229,4X4230,托模退压力启动斜率,ushort,1字,0.1
D4,35,10,D4230,4x4230,4X4231,托模退压力停止斜率,ushort,1字,0.1
D4,36,10,D4231,4x4231,4X4232,托模退速度启动斜率,ushort,1字,1
D4,37,10,D4232,4x4232,4X4233,托模退速度停止斜率,ushort,1字,1
D4,40,10,D4235,4x4235,4X4236,托模退1段压力斜率,ushort,1字,0.1
D4,41,10,D4236,4x4236,4X4237,托模退2段压力斜率,ushort,1字,0.1
D4,42,10,D4237,4x4237,4X4238,托模退3段压力斜率,ushort,1字,0.1
D4,45,10,D4240,4x4240,4X4241,托模退1段速度斜率,ushort,1字,1
D4,46,10,D4241,4x4241,4X4242,托模退2段速度斜率,ushort,1字,1
D4,47,10,D4242,4x4242,4X4243,托模退3段速度斜率,ushort,1字,1
D4,5,12,D4250,4x4250,4X4251,中子A进调模压力启动斜率,ushort,1字,0.1
D4,6,12,D4251,4x4251,4X4252,中子A进调模压力停止斜率,ushort,1字,0.1
D4,7,12,D4252,4x4252,4X4253,中子A进调模速度启动斜率,ushort,1字,1
D4,8,12,D4253,4x4253,4X4254,中子A进调模速度停止斜率,ushort,1字,1
D4,9,12,D4254,4x4254,4X4255,中子A进压力启动斜率,ushort,1字,0.1
D4,10,12,D4255,4x4255,4X4256,中子A进压力停止斜率,ushort,1字,0.1
D4,11,12,D4256,4x4256,4X4257,中子A进速度启动斜率,ushort,1字,1
D4,12,12,D4257,4x4257,4X4258,中子A进速度停止斜率,ushort,1字,1
D4,15,12,D4260,4x4260,4X4261,中子B进调模压力启动斜率,ushort,1字,0.1
D4,16,12,D4261,4x4261,4X4262,中子B进调模压力停止斜率,ushort,1字,0.1
D4,17,12,D4262,4x4262,4X4263,中子B进调模速度启动斜率,ushort,1字,1
D4,18,12,D4263,4x4263,4X4264,中子B进调模速度停止斜率,ushort,1字,1
D4,19,12,D4264,4x4264,4X4265,中子B进压力启动斜率,ushort,1字,0.1
D4,20,12,D4265,4x4265,4X4266,中子B进压力停止斜率,ushort,1字,0.1
D4,21,12,D4266,4x4266,4X4267,中子B进速度启动斜率,ushort,1字,1
D4,22,12,D4267,4x4267,4X4268,中子B进速度停止斜率,ushort,1字,1
D4,25,12,D4270,4x4270,4X4271,中子C进调模压力启动斜率,ushort,1字,0.1
D4,26,12,D4271,4x4271,4X4272,中子C进调模压力停止斜率,ushort,1字,0.1
D4,27,12,D4272,4x4272,4X4273,中子C进调模速度启动斜率,ushort,1字,1
D4,28,12,D4273,4x4273,4X4274,中子C进调模速度停止斜率,ushort,1字,1
D4,29,12,D4274,4x4274,4X4275,中子C进压力启动斜率,ushort,1字,0.1
D4,30,12,D4275,4x4275,4X4276,中子C进压力停止斜率,ushort,1字,0.1
D4,31,12,D4276,4x4276,4X4277,中子C进速度启动斜率,ushort,1字,1
D4,32,12,D4277,4x4277,4X4278,中子C进速度停止斜率,ushort,1字,1
D4,35,12,D4280,4x4280,4X4281,中子D进调模压力启动斜率,ushort,1字,0.1
D4,36,12,D4281,4x4281,4X4282,中子D进调模压力停止斜率,ushort,1字,0.1
D4,37,12,D4282,4x4282,4X4283,中子D进调模速度启动斜率,ushort,1字,1
D4,38,12,D4283,4x4283,4X4284,中子D进调模速度停止斜率,ushort,1字,1
D4,39,12,D4284,4x4284,4X4285,中子D进压力启动斜率,ushort,1字,0.1
D4,40,12,D4285,4x4285,4X4286,中子D进压力停止斜率,ushort,1字,0.1
D4,41,12,D4286,4x4286,4X4287,中子D进速度启动斜率,ushort,1字,1
D4,42,12,D4287,4x4287,4X4288,中子D进速度停止斜率,ushort,1字,1
D4,5,14,D4300,4x4300,4X4301,中子A退调模压力启动斜率,ushort,1字,0.1
D4,6,14,D4301,4x4301,4X4302,中子A退调模压力停止斜率,ushort,1字,0.1
D4,7,14,D4302,4x4302,4X4303,中子A退调模速度启动斜率,ushort,1字,1
D4,8,14,D4303,4x4303,4X4304,中子A退调模速度停止斜率,ushort,1字,1
D4,9,14,D4304,4x4304,4X4305,中子A退压力启动斜率,ushort,1字,0.1
D4,10,14,D4305,4x4305,4X4306,中子A退压力停止斜率,ushort,1字,0.1
D4,11,14,D4306,4x4306,4X4307,中子A退速度启动斜率,ushort,1字,1
D4,12,14,D4307,4x4307,4X4308,中子A退速度停止斜率,ushort,1字,1
D4,15,14,D4310,4x4310,4X4311,中子B退调模压力启动斜率,ushort,1字,0.1
D4,16,14,D4311,4x4311,4X4312,中子B退调模压力停止斜率,ushort,1字,0.1
D4,17,14,D4312,4x4312,4X4313,中子B退调模速度启动斜率,ushort,1字,1
D4,18,14,D4313,4x4313,4X4314,中子B退调模速度停止斜率,ushort,1字,1
D4,19,14,D4314,4x4314,4X4315,中子B退压力启动斜率,ushort,1字,0.1
D4,20,14,D4315,4x4315,4X4316,中子B退压力停止斜率,ushort,1字,0.1
D4,21,14,D4316,4x4316,4X4317,中子B退速度启动斜率,ushort,1字,1
D4,22,14,D4317,4x4317,4X4318,中子B退速度停止斜率,ushort,1字,1
D4,25,14,D4320,4x4320,4X4321,中子C退调模压力启动斜率,ushort,1字,0.1
D4,26,14,D4321,4x4321,4X4322,中子C退调模压力停止斜率,ushort,1字,0.1
D4,27,14,D4322,4x4322,4X4323,中子C退调模速度启动斜率,ushort,1字,1
D4,28,14,D4323,4x4323,4X4324,中子C退调模速度停止斜率,ushort,1字,1
D4,29,14,D4324,4x4324,4X4325,中子C退压力启动斜率,ushort,1字,0.1
D4,30,14,D4325,4x4325,4X4326,中子C退压力停止斜率,ushort,1字,0.1
D4,31,14,D4326,4x4326,4X4327,中子C退速度启动斜率,ushort,1字,1
D4,32,14,D4327,4x4327,4X4328,中子C退速度停止斜率,ushort,1字,1
D4,35,14,D4330,4x4330,4X4331,中子D退调模压力启动斜率,ushort,1字,0.1
D4,36,14,D4331,4x4331,4X4332,中子D退调模压力停止斜率,ushort,1字,0.1
D4,37,14,D4332,4x4332,4X4333,中子D退调模速度启动斜率,ushort,1字,1
D4,38,14,D4333,4x4333,4X4334,中子D退调模速度停止斜率,ushort,1字,1
D4,39,14,D4334,4x4334,4X4335,中子D退压力启动斜率,ushort,1字,0.1
D4,40,14,D4335,4x4335,4X4336,中子D退压力停止斜率,ushort,1字,0.1
D4,41,14,D4336,4x4336,4X4337,中子D退速度启动斜率,ushort,1字,1
D4,42,14,D4337,4x4337,4X4338,中子D退速度停止斜率,ushort,1字,1
D4,5,16,D4350,4x4350,4X4351,中子E进调模压力启动斜率,ushort,1字,0.1
D4,6,16,D4351,4x4351,4X4352,中子E进调模压力停止斜率,ushort,1字,0.1
D4,7,16,D4352,4x4352,4X4353,中子E进调模速度启动斜率,ushort,1字,1
D4,8,16,D4353,4x4353,4X4354,中子E进调模速度停止斜率,ushort,1字,1
D4,9,16,D4354,4x4354,4X4355,中子E进压力启动斜率,ushort,1字,0.1
D4,10,16,D4355,4x4355,4X4356,中子E进压力停止斜率,ushort,1字,0.1
D4,11,16,D4356,4x4356,4X4357,中子E进速度启动斜率,ushort,1字,1
D4,12,16,D4357,4x4357,4X4358,中子E进速度停止斜率,ushort,1字,1
D4,15,16,D4360,4x4360,4X4361,中子F进调模压力启动斜率,ushort,1字,0.1
D4,16,16,D4361,4x4361,4X4362,中子F进调模压力停止斜率,ushort,1字,0.1
D4,17,16,D4362,4x4362,4X4363,中子F进调模速度启动斜率,ushort,1字,1
D4,18,16,D4363,4x4363,4X4364,中子F进调模速度停止斜率,ushort,1字,1
D4,19,16,D4364,4x4364,4X4365,中子F进压力启动斜率,ushort,1字,0.1
D4,20,16,D4365,4x4365,4X4366,中子F进压力停止斜率,ushort,1字,0.1
D4,21,16,D4366,4x4366,4X4367,中子F进速度启动斜率,ushort,1字,1
D4,22,16,D4367,4x4367,4X4368,中子F进速度停止斜率,ushort,1字,1
D4,25,16,D4370,4x4370,4X4371,中子G进调模压力启动斜率,ushort,1字,0.1
D4,26,16,D4371,4x4371,4X4372,中子G进调模压力停止斜率,ushort,1字,0.1
D4,27,16,D4372,4x4372,4X4373,中子G进调模速度启动斜率,ushort,1字,1
D4,28,16,D4373,4x4373,4X4374,中子G进调模速度停止斜率,ushort,1字,1
D4,29,16,D4374,4x4374,4X4375,中子G进压力启动斜率,ushort,1字,0.1
D4,30,16,D4375,4x4375,4X4376,中子G进压力停止斜率,ushort,1字,0.1
D4,31,16,D4376,4x4376,4X4377,中子G进速度启动斜率,ushort,1字,1
D4,32,16,D4377,4x4377,4X4378,中子G进速度停止斜率,ushort,1字,1
D4,35,16,D4380,4x4380,4X4381,中子H进调模压力启动斜率,ushort,1字,0.1
D4,36,16,D4381,4x4381,4X4382,中子H进调模压力停止斜率,ushort,1字,0.1
D4,37,16,D4382,4x4382,4X4383,中子H进调模速度启动斜率,ushort,1字,1
D4,38,16,D4383,4x4383,4X4384,中子H进调模速度停止斜率,ushort,1字,1
D4,39,16,D4384,4x4384,4X4385,中子H进压力启动斜率,ushort,1字,0.1
D4,40,16,D4385,4x4385,4X4386,中子H进压力停止斜率,ushort,1字,0.1
D4,41,16,D4386,4x4386,4X4387,中子H进速度启动斜率,ushort,1字,1
D4,42,16,D4387,4x4387,4X4388,中子H进速度停止斜率,ushort,1字,1
D4,5,18,D4400,4x4400,4X4401,中子E退调模压力启动斜率,ushort,1字,0.1
D4,6,18,D4401,4x4401,4X4402,中子E退调模压力停止斜率,ushort,1字,0.1
D4,7,18,D4402,4x4402,4X4403,中子E退调模速度启动斜率,ushort,1字,1
D4,8,18,D4403,4x4403,4X4404,中子E退调模速度停止斜率,ushort,1字,1
D4,9,18,D4404,4x4404,4X4405,中子E退压力启动斜率,ushort,1字,0.1
D4,10,18,D4405,4x4405,4X4406,中子E退压力停止斜率,ushort,1字,0.1
D4,11,18,D4406,4x4406,4X4407,中子E退速度启动斜率,ushort,1字,1
D4,12,18,D4407,4x4407,4X4408,中子E退速度停止斜率,ushort,1字,1
D4,15,18,D4410,4x4410,4X4411,中子F退调模压力启动斜率,ushort,1字,0.1
D4,16,18,D4411,4x4411,4X4412,中子F退调模压力停止斜率,ushort,1字,0.1
D4,17,18,D4412,4x4412,4X4413,中子F退调模速度启动斜率,ushort,1字,1
D4,18,18,D4413,4x4413,4X4414,中子F退调模速度停止斜率,ushort,1字,1
D4,19,18,D4414,4x4414,4X4415,中子F退压力启动斜率,ushort,1字,0.1
D4,20,18,D4415,4x4415,4X4416,中子F退压力停止斜率,ushort,1字,0.1
D4,21,18,D4416,4x4416,4X4417,中子F退速度启动斜率,ushort,1字,1
D4,22,18,D4417,4x4417,4X4418,中子F退速度停止斜率,ushort,1字,1
D4,25,18,D4420,4x4420,4X4421,中子G退调模压力启动斜率,ushort,1字,0.1
D4,26,18,D4421,4x4421,4X4422,中子G退调模压力停止斜率,ushort,1字,0.1
D4,27,18,D4422,4x4422,4X4423,中子G退调模速度启动斜率,ushort,1字,1
D4,28,18,D4423,4x4423,4X4424,中子G退调模速度停止斜率,ushort,1字,1
D4,29,18,D4424,4x4424,4X4425,中子G退压力启动斜率,ushort,1字,0.1
D4,30,18,D4425,4x4425,4X4426,中子G退压力停止斜率,ushort,1字,0.1
D4,31,18,D4426,4x4426,4X4427,中子G退速度启动斜率,ushort,1字,1
D4,32,18,D4427,4x4427,4X4428,中子G退速度停止斜率,ushort,1字,1
D4,35,18,D4430,4x4430,4X4431,中子H退调模压力启动斜率,ushort,1字,0.1
D4,36,18,D4431,4x4431,4X4432,中子H退调模压力停止斜率,ushort,1字,0.1
D4,37,18,D4432,4x4432,4X4433,中子H退调模速度启动斜率,ushort,1字,1
D4,38,18,D4433,4x4433,4X4434,中子H退调模速度停止斜率,ushort,1字,1
D4,39,18,D4434,4x4434,4X4435,中子H退压力启动斜率,ushort,1字,0.1
D4,40,18,D4435,4x4435,4X4436,中子H退压力停止斜率,ushort,1字,0.1
D4,41,18,D4436,4x4436,4X4437,中子H退速度启动斜率,ushort,1字,1
D4,42,18,D4437,4x4437,4X4438,中子H退速度停止斜率,ushort,1字,1
