工作表,行,列,原始地址(HMI),Modbus地址(0-based),FUXA地址(1-based),标签名,类型,字数,比例
D4,5,2,D4000,4x4000,4X4001,合模调模压力启动斜率,ushort,1字,0.1
D4,6,2,D4001,4x4001,4X4002,合模调模压力停止斜率,ushort,1字,0.1
D4,7,2,D4002,4x4002,4X4003,合模调模速度启动斜率,ushort,1字,1
D4,8,2,D4003,4x4003,4X4004,合模调模速度停止斜率,ushort,1字,1
D4,9,2,D4004,4x4004,4X4005,合模压力启动斜率,ushort,1字,0.1
D4,10,2,D4005,4x4005,4X4006,合模压力停止斜率,ushort,1字,0.1
D4,11,2,D4006,4x4006,4X4007,合模速度启动斜率,ushort,1字,1
D4,12,2,D4007,4x4007,4X4008,合模速度停止斜率,ushort,1字,1
D4,15,2,D4010,4x4010,4X4011,合模1段压力斜率,ushort,1字,0.1
D4,16,2,D4011,4x4011,4X4012,合模2段压力斜率,ushort,1字,0.1
D4,17,2,D4012,4x4012,4X4013,合模3段压力斜率,ushort,1字,0.1
D4,18,2,D4013,4x4013,4X4014,合模4段压力斜率,ushort,1字,0.1
D4,19,2,D4014,4x4014,4X4015,合模低压段压力斜率,ushort,1字,0.1
D4,20,2,D4015,4x4015,4X4016,合模高压段压力斜率,ushort,1字,0.1
D4,22,2,D4017,4x4017,4X4018,合模1段速度斜率,ushort,1字,1
D4,23,2,D4018,4x4018,4X4019,合模2段速度斜率,ushort,1字,1
D4,24,2,D4019,4x4019,4X4020,合模3段速度斜率,ushort,1字,1
D4,25,2,D4020,4x4020,4X4021,合模4段速度斜率,ushort,1字,1
D4,26,2,D4021,4x4021,4X4022,合模低压段速度斜率,ushort,1字,1
D4,27,2,D4022,4x4022,4X4023,合模高压段速度斜率,ushort,1字,1
D4,30,2,D4025,4x4025,4X4026,开模调模压力启动斜率,ushort,1字,0.1
D4,31,2,D4026,4x4026,4X4027,开模调模压力停止斜率,ushort,1字,0.1
D4,32,2,D4027,4x4027,4X4028,开模调模速度启动斜率,ushort,1字,1
D4,33,2,D4028,4x4028,4X4029,开模调模速度停止斜率,ushort,1字,1
D4,34,2,D4029,4x4029,4X4030,开模压力启动斜率,ushort,1字,0.1
D4,35,2,D4030,4x4030,4X4031,开模压力停止斜率,ushort,1字,0.1
D4,36,2,D4031,4x4031,4X4032,开模速度启动斜率,ushort,1字,1
D4,37,2,D4032,4x4032,4X4033,开模速度停止斜率,ushort,1字,1
D4,40,2,D4035,4x4035,4X4036,开模1段压力斜率,ushort,1字,0.1
D4,41,2,D4036,4x4036,4X4037,开模2段压力斜率,ushort,1字,0.1
D4,42,2,D4037,4x4037,4X4038,开模3段压力斜率,ushort,1字,0.1
D4,43,2,D4038,4x4038,4X4039,开模4段压力斜率,ushort,1字,0.1
D4,44,2,D4039,4x4039,4X4040,开模5段压力斜率,ushort,1字,0.1
D4,45,2,D4040,4x4040,4X4041,开模卸荷段压力斜率,ushort,1字,0.1
D4,47,2,D4042,4x4042,4X4043,开模1段速度斜率,ushort,1字,1
D4,48,2,D4043,4x4043,4X4044,开模2段速度斜率,ushort,1字,1
D4,49,2,D4044,4x4044,4X4045,开模3段速度斜率,ushort,1字,1
D4,50,2,D4045,4x4045,4X4046,开模4段速度斜率,ushort,1字,1
D4,51,2,D4046,4x4046,4X4047,开模5段速度斜率,ushort,1字,1
D4,52,2,D4047,4x4047,4X4048,开模卸荷段速度斜率,ushort,1字,1
D4,5,4,D4050,4x4050,4X4051,射出调模压力启动斜率,ushort,1字,0.1
D4,6,4,D4051,4x4051,4X4052,射出调模压力停止斜率,ushort,1字,0.1
D4,7,4,D4052,4x4052,4X4053,射出调模速度启动斜率,ushort,1字,1
D4,8,4,D4053,4x4053,4X4054,射出调模速度停止斜率,ushort,1字,1
D4,9,4,D4054,4x4054,4X4055,射出压力启动斜率,ushort,1字,0.1
D4,10,4,D4055,4x4055,4X4056,射出压力停止斜率,ushort,1字,0.1
D4,11,4,D4056,4x4056,4X4057,射出速度启动斜率,ushort,1字,1
D4,12,4,D4057,4x4057,4X4058,射出速度停止斜率,ushort,1字,1
D4,15,4,D4060,4x4060,4X4061,射出1段压力斜率,ushort,1字,0.1
D4,16,4,D4061,4x4061,4X4062,射出2段压力斜率,ushort,1字,0.1
D4,17,4,D4062,4x4062,4X4063,射出3段压力斜率,ushort,1字,0.1
D4,18,4,D4063,4x4063,4X4064,射出4段压力斜率,ushort,1字,0.1
D4,19,4,D4064,4x4064,4X4065,射出5段压力斜率,ushort,1字,0.1
D4,20,4,D4065,4x4065,4X4066,射出6段压力斜率,ushort,1字,0.1
D4,21,4,D4066,4x4066,4X4067,射出7段压力斜率,ushort,1字,0.1
D4,22,4,D4067,4x4067,4X4068,射出8段压力斜率,ushort,1字,0.1
D4,23,4,D4068,4x4068,4X4069,射出9段压力斜率,ushort,1字,0.1
D4,24,4,D4069,4x4069,4X4070,射出10段压力斜率,ushort,1字,0.1
D4,25,4,D4070,4x4070,4X4071,射出1段速度斜率,ushort,1字,1
D4,26,4,D4071,4x4071,4X4072,射出2段速度斜率,ushort,1字,1
D4,27,4,D4072,4x4072,4X4073,射出3段速度斜率,ushort,1字,1
D4,28,4,D4073,4x4073,4X4074,射出4段速度斜率,ushort,1字,1
D4,29,4,D4074,4x4074,4X4075,射出5段速度斜率,ushort,1字,1
D4,30,4,D4075,4x4075,4X4076,射出6段速度斜率,ushort,1字,1
D4,31,4,D4076,4x4076,4X4077,射出7段速度斜率,ushort,1字,1
D4,32,4,D4077,4x4077,4X4078,射出8段速度斜率,ushort,1字,1
D4,33,4,D4078,4x4078,4X4079,射出9段速度斜率,ushort,1字,1
D4,34,4,D4079,4x4079,4X4080,射出10段速度斜率,ushort,1字,1
D4,35,4,D4080,4x4080,4X4081,保压转换段压力斜率,ushort,1字,0.1
D4,36,4,D4081,4x4081,4X4082,保压1段压力斜率,ushort,1字,0.1
D4,37,4,D4082,4x4082,4X4083,保压2段压力斜率,ushort,1字,0.1
D4,38,4,D4083,4x4083,4X4084,保压3段压力斜率,ushort,1字,0.1
D4,39,4,D4084,4x4084,4X4085,保压4段压力斜率,ushort,1字,0.1
D4,40,4,D4085,4x4085,4X4086,保压5段压力斜率,ushort,1字,0.1
D4,41,4,D4086,4x4086,4X4087,保压6段压力斜率,ushort,1字,0.1
D4,42,4,D4087,4x4087,4X4088,保压7段压力斜率,ushort,1字,0.1
D4,43,4,D4088,4x4088,4X4089,保压8段压力斜率,ushort,1字,0.1
D4,45,4,D4090,4x4090,4X4091,保压转换段速度斜率,ushort,1字,1
D4,46,4,D4091,4x4091,4X4092,保压1段速度斜率,ushort,1字,1
D4,47,4,D4092,4x4092,4X4093,保压2段速度斜率,ushort,1字,1
D4,48,4,D4093,4x4093,4X4094,保压3段速度斜率,ushort,1字,1
D4,49,4,D4094,4x4094,4X4095,保压4段速度斜率,ushort,1字,1
D4,50,4,D4095,4x4095,4X4096,保压5段速度斜率,ushort,1字,1
D4,51,4,D4096,4x4096,4X4097,保压6段速度斜率,ushort,1字,1
D4,52,4,D4097,4x4097,4X4098,保压7段速度斜率,ushort,1字,1
D4,53,4,D4098,4x4098,4X4099,保压8段速度斜率,ushort,1字,1
D4,5,6,D4100,4x4100,4X4101,储料调模压力启动斜率,ushort,1字,0.1
D4,6,6,D4101,4x4101,4X4102,储料调模压力停止斜率,ushort,1字,0.1
D4,7,6,D4102,4x4102,4X4103,储料调模速度启动斜率,ushort,1字,1
D4,8,6,D4103,4x4103,4X4104,储料调模速度停止斜率,ushort,1字,1
D4,9,6,D4104,4x4104,4X4105,储料压力启动斜率,ushort,1字,0.1
D4,10,6,D4105,4x4105,4X4106,储料压力停止斜率,ushort,1字,0.1
