原始地址(HMI),Modbus地址(0-based),标签名,类型,字数,比例,单位,HMI显示,只读,控件类型,枚举选项,段索引,段数寄存器,保存历史,范围
D0162,4x0162,开模3位置1,int,2字,0.01,,开合模,false,,,3,199,是,D157~300
D0164,4x0164,开模3时间1,ushort,1字,0.1,,开合模,false,,,3,199,是,
D0165,4x0165,开模4压力1,ushort,1字,0.1,,开合模,false,,,4,199,是,
D0166,4x0166,开模4流量1,ushort,1字,0.1,,开合模,false,,,4,199,是,
D0167,4x0167,开模4位置1,int,2字,0.01,,开合模,false,,,4,199,是,D162~300
D0169,4x0169,开模4时间1,ushort,1字,0.1,,开合模,false,,,4,199,是,
D0170,4x0170,开模5压力1,ushort,1字,0.1,,开合模,false,,,5,199,是,
D0171,4x0171,开模5流量1,ushort,1字,0.1,,开合模,false,,,5,199,是,
D0172,4x0172,开模5位置1,int,2字,0.01,,开合模,false,,,5,199,是,D167~300
D0174,4x0174,开模5时间1,ushort,1字,0.1,,开合模,false,,,5,199,是,
D0175,4x0175,开模卸荷压力1,ushort,1字,0.1,,开合模,false,,,0,-1,是,
D0176,4x0176,开模卸荷流量1,ushort,1字,0.1,,开合模,false,,,0,-1,是,
D0177,4x0177,开模卸荷位置1,int,2字,0.01,,开合模,false,,,0,-1,是,
D0179,4x0179,开模卸荷时间1,ushort,1字,0.1,,开合模,false,,,0,-1,是,
D0190,4x0190,功能低压保护,ushort,1字,1,s,开合模,false,,,0,-1,是,
D0191,4x0191,功能开合模限时,ushort,1字,1,s,开合模,false,,,0,-1,是,
D0192,4x0192,功能合模高压压力,ushort,1字,0.1,MPa,开合模,false,,,0,-1,是,
D0193,4x0193,功能_2,ushort,1字,1,,开合模,false,,,0,-1,是,
D0194,4x0194,功能_4,ushort,1字,1,,开合模,false,,,0,-1,是,
D0195,4x0195,功能_6,ushort,1字,1,,开合模,false,,,0,-1,是,
D0196,4x0196,功能_9,ushort,1字,1,,开合模,false,,,0,-1,是,
D0197,4x0197,功能_13,ushort,1字,1,,开合模,false,,,0,-1,是,
D0198,4x0198,合模段数,ushort,1字,1,,开合模,false,,,0,-1,是,
D0199,4x0199,开模段数,ushort,1字,1,,开合模,false,,,0,-1,是,
D0200,4x0200,射出1压力1,ushort,1字,0.1,,射出,false,,,1,298,是,
D0201,4x0201,射出1流量1,ushort,1字,0.1,,射出,false,,,1,298,是,
D0202,4x0202,射出1位置1,int,2字,0.01,,射出,false,,,1,298,是,0~300
D0204,4x0204,射出1时间1,ushort,1字,0.1,,射出,false,,,1,298,是,
D0205,4x0205,射出2压力1,ushort,1字,0.1,,射出,false,,,2,298,是,
D0206,4x0206,射出2流量1,ushort,1字,0.1,,射出,false,,,2,298,是,
D0207,4x0207,射出2位置1,int,2字,0.01,,射出,false,,,2,298,是,0~D202
D0209,4x0209,射出2时间1,ushort,1字,0.1,,射出,false,,,2,298,是,
D0210,4x0210,射出3压力1,ushort,1字,0.1,,射出,false,,,3,298,是,
D0211,4x0211,射出3流量1,ushort,1字,0.1,,射出,false,,,3,298,是,
D0212,4x0212,射出3位置1,int,2字,0.01,,射出,false,,,3,298,是,0~D207
D0214,4x0214,射出3时间1,ushort,1字,0.1,,射出,false,,,3,298,是,
D0215,4x0215,射出4压力1,ushort,1字,0.1,,射出,false,,,4,298,是,
D0216,4x0216,射出4流量1,ushort,1字,0.1,,射出,false,,,4,298,是,
D0217,4x0217,射出4位置1,int,2字,0.01,,射出,false,,,4,298,是,0~D212
D0219,4x0219,射出4时间1,ushort,1字,0.1,,射出,false,,,4,298,是,
D0220,4x0220,射出5压力1,ushort,1字,0.1,,射出,false,,,5,298,是,
D0221,4x0221,射出5流量1,ushort,1字,0.1,,射出,false,,,5,298,是,
D0222,4x0222,射出5位置1,int,2字,0.01,,射出,false,,,5,298,是,0~D217
D0224,4x0224,射出5时间1,ushort,1字,0.1,,射出,false,,,5,298,是,
D0225,4x0225,射出6压力1,ushort,1字,0.1,,射出,false,,,6,298,是,
D0226,4x0226,射出6流量1,ushort,1字,0.1,,射出,false,,,6,298,是,
D0227,4x0227,射出6位置1,int,2字,0.01,,射出,false,,,6,298,是,0~D222
D0229,4x0229,射出6时间1,ushort,1字,0.1,,射出,false,,,6,298,是,
D0230,4x0230,射出7压力1,ushort,1字,0.1,,射出,false,,,7,298,是,
D0231,4x0231,射出7流量1,ushort,1字,0.1,,射出,false,,,7,298,是,
D0232,4x0232,射出7位置1,int,2字,0.01,,射出,false,,,7,298,是,0~D227
D0234,4x0234,射出7时间1,ushort,1字,0.1,,射出,false,,,7,298,是,
D0235,4x0235,射出8压力1,ushort,1字,0.1,,射出,false,,,8,298,是,
D0236,4x0236,射出8流量1,ushort,1字,0.1,,射出,false,,,8,298,是,
D0237,4x0237,射出8位置1,int,2字,0.01,,射出,false,,,8,298,是,0~D232
D0239,4x0239,射出8时间1,ushort,1字,0.1,,射出,false,,,8,298,是,
D0240,4x0240,射出9压力1,ushort,1字,0.1,,射出,false,,,9,298,是,
D0241,4x0241,射出9流量1,ushort,1字,0.1,,射出,false,,,9,298,是,
D0242,4x0242,射出9位置1,int,2字,0.01,,射出,false,,,9,298,是,0~D237
D0244,4x0244,射出9时间1,ushort,1字,0.1,,射出,false,,,9,298,是,
D0245,4x0245,射出10压力1,ushort,1字,0.1,,射出,false,,,10,298,是,
D0246,4x0246,射出10流量1,ushort,1字,0.1,,射出,false,,,10,298,是,
D0247,4x0247,射出10位置1,int,2字,0.01,,射出,false,,,10,298,是,0~D242
D0249,4x0249,射出10时间1,ushort,1字,0.1,,射出,false,,,10,298,是,
D0250,4x0250,保压1压力1,ushort,1字,0.1,,射出,false,,,1,299,是,
D0251,4x0251,保压1流量1,ushort,1字,0.1,,射出,false,,,1,299,是,
D0252,4x0252,保压1位置1,int,2字,0.01,,射出,false,,,1,299,是,0~300
D0254,4x0254,保压1时间1,ushort,1字,0.1,,射出,false,,,1,299,是,
D0255,4x0255,保压2压力1,ushort,1字,0.1,,射出,false,,,2,299,是,
D0256,4x0256,保压2流量1,ushort,1字,0.1,,射出,false,,,2,299,是,
D0257,4x0257,保压2位置1,int,2字,0.01,,射出,false,,,2,299,是,0~D252
D0259,4x0259,保压2时间1,ushort,1字,0.1,,射出,false,,,2,299,是,
D0260,4x0260,保压3压力1,ushort,1字,0.1,,射出,false,,,3,299,是,
D0261,4x0261,保压3流量1,ushort,1字,0.1,,射出,false,,,3,299,是,
D0262,4x0262,保压3位置1,int,2字,0.01,,射出,false,,,3,299,是,0~D257
D0264,4x0264,保压3时间1,ushort,1字,0.1,,射出,false,,,3,299,是,
D0265,4x0265,保压4压力1,ushort,1字,0.1,,射出,false,,,4,299,是,
D0266,4x0266,保压4流量1,ushort,1字,0.1,,射出,false,,,4,299,是,
D0267,4x0267,保压4位置1,int,2字,0.01,,射出,false,,,4,299,是,0~D262
D0269,4x0269,保压4时间1,ushort,1字,0.1,,射出,false,,,4,299,是,
D0270,4x0270,保压5压力1,ushort,1字,0.1,,射出,false,,,5,299,是,
D0271,4x0271,保压5流量1,ushort,1字,0.1,,射出,false,,,5,299,是,
D0272,4x0272,保压5位置1,int,2字,0.01,,射出,false,,,5,299,是,0~D267
D0274,4x0274,保压5时间1,ushort,1字,0.1,,射出,false,,,5,299,是,
D0275,4x0275,保压6压力1,ushort,1字,0.1,,射出,false,,,6,299,是,
D0276,4x0276,保压6流量1,ushort,1字,0.1,,射出,false,,,6,299,是,
D0277,4x0277,保压6位置1,int,2字,0.01,,射出,false,,,6,299,是,0~D272
D0279,4x0279,保压6时间1,ushort,1字,0.1,,射出,false,,,6,299,是,
D0280,4x0280,保压7压力1,ushort,1字,0.1,,射出,false,,,7,299,是,
D0281,4x0281,保压7流量1,ushort,1字,0.1,,射出,false,,,7,299,是,
D0282,4x0282,保压7位置1,int,2字,0.01,,射出,false,,,7,299,是,0~D277
D0284,4x0284,保压7时间1,ushort,1字,0.1,,射出,false,,,7,299,是,
D0285,4x0285,保压8压力1,ushort,1字,0.1,,射出,false,,,8,299,是,
D0286,4x0286,保压8流量1,ushort,1字,0.1,,射出,false,,,8,299,是,
D0287,4x0287,保压8位置1,int,2字,0.01,,射出,false,,,8,299,是,0~D282
D0289,4x0289,保压8时间1,ushort,1字,0.1,,射出,false,,,8,299,是,
D0290,4x0290,功能射出总时,ushort,1字,1,s,射出,false,,,0,-1,是,
D0291,4x0291,功能射出方式,ushort,1字,1,,射出,false,动态文本,"位置,时间",0,-1,是,
D0292,4x0292,功能转保压方式,ushort,1字,1,,射出,false,动态文本,"位置,时间,压力",0,-1,是,
D0293,4x0293,功能转保压压力,ushort,1字,0.1,MPa,射出,false,,,0,-1,是,
D0294,4x0294,功能转保压位置,int,2字,0.01,mm,射出,false,,,0,-1,是,
D0296,4x0296,功能转保压时间,ushort,1字,0.1,s,射出,false,,,0,-1,是,
D0297,4x0297,位置1功能,ushort,1字,0.01,,射出,false,,,0,-1,是,
D0298,4x0298,射出段数,ushort,1字,1,,射出,false,,,0,-1,是,
D0299,4x0299,保压段数,ushort,1字,1,,射出,false,,,0,-1,是,
D0300,4x0300,储料1压力1,ushort,1字,0.1,,储料,false,,,1,398,是,
