原始地址(HMI),Modbus地址(0-based),标签名,类型,字数,比例,单位,HMI显示,只读,控件类型,枚举选项,段索引,段数寄存器,保存历史,范围
D0522,4x0522,托模B进1位置1,int,2字,0.01,,托模,false,,,1,598,是,0~300
D0524,4x0524,托模B进1时间1,ushort,1字,0.1,,托模,false,,,1,598,是,
D0525,4x0525,托模B进2压力1,ushort,1字,0.1,,托模,false,,,2,598,是,
D0526,4x0526,托模B进2流量1,ushort,1字,0.1,,托模,false,,,2,598,是,
D0527,4x0527,托模B进2位置1,int,2字,0.01,,托模,false,,,2,598,是,0~D522
D0529,4x0529,托模B进2时间1,ushort,1字,0.1,,托模,false,,,2,598,是,
D0530,4x0530,托模B进3压力1,ushort,1字,0.1,,托模,false,,,3,598,是,
D0531,4x0531,托模B进3流量1,ushort,1字,0.1,,托模,false,,,3,598,是,
D0532,4x0532,托模B进3位置1,int,2字,0.01,,托模,false,,,3,598,是,0~D527
D0534,4x0534,托模B进3时间1,ushort,1字,0.1,,托模,false,,,3,598,是,
D0535,4x0535,托模B保持压力1,ushort,1字,0.1,,托模,false,,,0,-1,是,
D0536,4x0536,托模B保持流量1,ushort,1字,0.1,,托模,false,,,0,-1,是,
D0537,4x0537,托模B保持位置1,int,2字,0.01,,托模,false,,,0,-1,是,
D0539,4x0539,托模B保持时间1,ushort,1字,0.1,,托模,false,,,0,-1,是,
D0550,4x0550,托模A退1压力1,ushort,1字,0.1,,托模,false,,,1,599,是,
D0551,4x0551,托模A退1流量1,ushort,1字,0.1,,托模,false,,,1,599,是,
D0552,4x0552,托模A退1位置1,int,2字,0.01,,托模,false,,,1,599,是,0~300
D0554,4x0554,托模A退1时间1,ushort,1字,0.1,,托模,false,,,1,599,是,
D0555,4x0555,托模A退2压力1,ushort,1字,0.1,,托模,false,,,2,599,是,
D0556,4x0556,托模A退2流量1,ushort,1字,0.1,,托模,false,,,2,599,是,
D0557,4x0557,托模A退2位置1,int,2字,0.01,,托模,false,,,2,599,是,0~D552
D0559,4x0559,托模A退2时间1,ushort,1字,0.1,,托模,false,,,2,599,是,
D0560,4x0560,托模A退3压力1,ushort,1字,0.1,,托模,false,,,3,599,是,
D0561,4x0561,托模A退3流量1,ushort,1字,0.1,,托模,false,,,3,599,是,
D0562,4x0562,托模A退3位置1,int,2字,0.01,,托模,false,,,3,599,是,0~D557
D0564,4x0564,托模A退3时间1,ushort,1字,0.1,,托模,false,,,3,599,是,
D0570,4x0570,托模B退1压力1,ushort,1字,0.1,,托模,false,,,1,599,是,
D0571,4x0571,托模B退1流量1,ushort,1字,0.1,,托模,false,,,1,599,是,
D0572,4x0572,托模B退1位置1,int,2字,0.01,,托模,false,,,1,599,是,0~300
D0574,4x0574,托模B退1时间1,ushort,1字,0.1,,托模,false,,,1,599,是,
D0575,4x0575,托模B退2压力1,ushort,1字,0.1,,托模,false,,,2,599,是,
D0576,4x0576,托模B退2流量1,ushort,1字,0.1,,托模,false,,,2,599,是,
D0577,4x0577,托模B退2位置1,int,2字,0.01,,托模,false,,,2,599,是,0~D572
D0579,4x0579,托模B退2时间1,ushort,1字,0.1,,托模,false,,,2,599,是,
D0580,4x0580,托模B退3压力1,ushort,1字,0.1,,托模,false,,,3,599,是,
D0581,4x0581,托模B退3流量1,ushort,1字,0.1,,托模,false,,,3,599,是,
D0582,4x0582,托模B退3位置1,int,2字,0.01,,托模,false,,,3,599,是,0~D577
D0584,4x0584,托模B退3时间1,ushort,1字,0.1,,托模,false,,,3,599,是,
D0590,4x0590,功能托模功能,ushort,1字,1,,托模,false,动态文本,"不用,使用",0,-1,是,
D0591,4x0591,功能托模方式,ushort,1字,1,,托模,false,动态文本,"位置,时间,压力",0,-1,是,
D0592,4x0592,功能托模次数,ushort,1字,1,次,托模,false,,,0,-1,是,
D0593,4x0593,功能托模进延迟,ushort,1字,1,s,托模,false,,,0,-1,是,
D0594,4x0594,功能托模退延迟,ushort,1字,1,s,托模,false,,,0,-1,是,
D0595,4x0595,功能_8,ushort,1字,1,,托模,false,,,0,-1,是,
D0596,4x0596,功能_11,ushort,1字,1,,托模,false,,,0,-1,是,
D0597,4x0597,功能_16,ushort,1字,1,,托模,false,,,0,-1,是,
D0598,4x0598,托模进段数,ushort,1字,1,,托模,false,,,0,-1,是,
D0599,4x0599,托模退段数,ushort,1字,1,,托模,false,,,0,-1,是,
D0600,4x0600,中子A进压力1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0601,4x0601,中子A进流量1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0602,4x0602,中子A进时间1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0603,4x0603,中子A进计数1,ushort,1字,1,,中子,false,,,0,-1,是,
D0604,4x0604,中子A进开始行程1,ushort,1字,1,,中子,false,,,0,-1,是,
D0605,4x0605,中子A进开始位置1,int,2字,0.01,,中子,false,,,0,-1,是,
D0607,4x0607,中子A进开始方式1,ushort,1字,1,,中子,false,动态文本,"位置,电子尺,传感器,时间,压力",0,-1,是,
D0608,4x0608,中子A进终止方式1,ushort,1字,1,,中子,false,动态文本,"位置,电子尺,传感器,时间,压力",0,-1,是,
D0609,4x0609,中子A进功能使用1,ushort,1字,1,,中子,false,动态文本,"不用,使用",0,-1,是,
D0610,4x0610,中子B进压力1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0611,4x0611,中子B进流量1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0612,4x0612,中子B进时间1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0613,4x0613,中子B进计数1,ushort,1字,1,,中子,false,,,0,-1,是,
D0614,4x0614,中子B进开始行程1,ushort,1字,1,,中子,false,,,0,-1,是,
D0615,4x0615,中子B进开始位置1,int,2字,0.01,,中子,false,,,0,-1,是,
D0617,4x0617,中子B进开始方式1,ushort,1字,1,,中子,false,动态文本,"位置,电子尺,传感器,时间,压力",0,-1,是,
D0618,4x0618,中子B进终止方式1,ushort,1字,1,,中子,false,动态文本,"位置,电子尺,传感器,时间,压力",0,-1,是,
D0619,4x0619,中子B进功能使用1,ushort,1字,1,,中子,false,动态文本,"不用,使用",0,-1,是,
D0620,4x0620,中子C进压力1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0621,4x0621,中子C进流量1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0622,4x0622,中子C进时间1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0623,4x0623,中子C进计数1,ushort,1字,1,,中子,false,,,0,-1,是,
D0624,4x0624,中子C进开始行程1,ushort,1字,1,,中子,false,,,0,-1,是,
D0625,4x0625,中子C进开始位置1,int,2字,0.01,,中子,false,,,0,-1,是,
D0627,4x0627,中子C进开始方式1,ushort,1字,1,,中子,false,动态文本,"位置,电子尺,传感器,时间,压力",0,-1,是,
D0628,4x0628,中子C进终止方式1,ushort,1字,1,,中子,false,动态文本,"位置,电子尺,传感器,时间,压力",0,-1,是,
D0629,4x0629,中子C进功能使用1,ushort,1字,1,,中子,false,动态文本,"不用,使用",0,-1,是,
D0630,4x0630,中子D进压力1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0631,4x0631,中子D进流量1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0632,4x0632,中子D进时间1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0633,4x0633,中子D进计数1,ushort,1字,1,,中子,false,,,0,-1,是,
D0634,4x0634,中子D进开始行程1,ushort,1字,1,,中子,false,,,0,-1,是,
D0635,4x0635,中子D进开始位置1,int,2字,0.01,,中子,false,,,0,-1,是,
D0637,4x0637,中子D进开始方式1,ushort,1字,1,,中子,false,动态文本,"位置,电子尺,传感器,时间,压力",0,-1,是,
D0638,4x0638,中子D进终止方式1,ushort,1字,1,,中子,false,动态文本,"位置,电子尺,传感器,时间,压力",0,-1,是,
D0639,4x0639,中子D进功能使用1,ushort,1字,1,,中子,false,动态文本,"不用,使用",0,-1,是,
D0650,4x0650,中子A退压力1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0651,4x0651,中子A退流量1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0652,4x0652,中子A退时间1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0653,4x0653,中子A退计数1,ushort,1字,1,,中子,false,,,0,-1,是,
D0654,4x0654,中子A退开始行程1,ushort,1字,1,,中子,false,,,0,-1,是,
D0655,4x0655,中子A退开始位置1,int,2字,0.01,,中子,false,,,0,-1,是,
D0657,4x0657,中子A退开始方式1,ushort,1字,1,,中子,false,动态文本,"位置,电子尺,传感器,时间,压力",0,-1,是,
D0658,4x0658,中子A退终止方式1,ushort,1字,1,,中子,false,动态文本,"位置,电子尺,传感器,时间,压力",0,-1,是,
D0659,4x0659,中子A退功能使用1,ushort,1字,1,,中子,false,动态文本,"不用,使用",0,-1,是,
D0660,4x0660,中子B退压力1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0661,4x0661,中子B退流量1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0662,4x0662,中子B退时间1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0663,4x0663,中子B退计数1,ushort,1字,1,,中子,false,,,0,-1,是,
D0664,4x0664,中子B退开始行程1,ushort,1字,1,,中子,false,,,0,-1,是,
D0665,4x0665,中子B退开始位置1,int,2字,0.01,,中子,false,,,0,-1,是,
D0667,4x0667,中子B退开始方式1,ushort,1字,1,,中子,false,动态文本,"位置,电子尺,传感器,时间,压力",0,-1,是,
D0668,4x0668,中子B退终止方式1,ushort,1字,1,,中子,false,动态文本,"位置,电子尺,传感器,时间,压力",0,-1,是,
D0669,4x0669,中子B退功能使用1,ushort,1字,1,,中子,false,动态文本,"不用,使用",0,-1,是,
D0670,4x0670,中子C退压力1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0671,4x0671,中子C退流量1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0672,4x0672,中子C退时间1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0673,4x0673,中子C退计数1,ushort,1字,1,,中子,false,,,0,-1,是,
D0674,4x0674,中子C退开始行程1,ushort,1字,1,,中子,false,,,0,-1,是,
D0675,4x0675,中子C退开始位置1,int,2字,0.01,,中子,false,,,0,-1,是,
D0677,4x0677,中子C退开始方式1,ushort,1字,1,,中子,false,动态文本,"位置,电子尺,传感器,时间,压力",0,-1,是,
D0678,4x0678,中子C退终止方式1,ushort,1字,1,,中子,false,动态文本,"位置,电子尺,传感器,时间,压力",0,-1,是,
D0679,4x0679,中子C退功能使用1,ushort,1字,1,,中子,false,动态文本,"不用,使用",0,-1,是,
D0680,4x0680,中子D退压力1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0681,4x0681,中子D退流量1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0682,4x0682,中子D退时间1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0683,4x0683,中子D退计数1,ushort,1字,1,,中子,false,,,0,-1,是,
D0684,4x0684,中子D退开始行程1,ushort,1字,1,,中子,false,,,0,-1,是,
D0685,4x0685,中子D退开始位置1,int,2字,0.01,,中子,false,,,0,-1,是,
D0687,4x0687,中子D退开始方式1,ushort,1字,1,,中子,false,动态文本,"位置,电子尺,传感器,时间,压力",0,-1,是,
D0688,4x0688,中子D退终止方式1,ushort,1字,1,,中子,false,动态文本,"位置,电子尺,传感器,时间,压力",0,-1,是,
D0689,4x0689,中子D退功能使用1,ushort,1字,1,,中子,false,动态文本,"不用,使用",0,-1,是,
D0700,4x0700,中子E进压力1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0701,4x0701,中子E进流量1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0702,4x0702,中子E进时间1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0703,4x0703,中子E进计数1,ushort,1字,1,,中子,false,,,0,-1,是,
D0704,4x0704,中子E进开始行程1,ushort,1字,1,,中子,false,,,0,-1,是,
D0705,4x0705,中子E进开始位置1,int,2字,0.01,,中子,false,,,0,-1,是,
D0707,4x0707,中子E进开始方式1,ushort,1字,1,,中子,false,动态文本,"位置,电子尺,传感器,时间,压力",0,-1,是,
D0708,4x0708,中子E进终止方式1,ushort,1字,1,,中子,false,动态文本,"位置,电子尺,传感器,时间,压力",0,-1,是,
D0709,4x0709,中子E进功能使用1,ushort,1字,1,,中子,false,动态文本,"不用,使用",0,-1,是,
D0710,4x0710,中子F进压力1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0711,4x0711,中子F进流量1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0712,4x0712,中子F进时间1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0713,4x0713,中子F进计数1,ushort,1字,1,,中子,false,,,0,-1,是,
D0714,4x0714,中子F进开始行程1,ushort,1字,1,,中子,false,,,0,-1,是,
D0715,4x0715,中子F进开始位置1,int,2字,0.01,,中子,false,,,0,-1,是,
D0717,4x0717,中子F进开始方式1,ushort,1字,1,,中子,false,动态文本,"位置,电子尺,传感器,时间,压力",0,-1,是,
D0718,4x0718,中子F进终止方式1,ushort,1字,1,,中子,false,动态文本,"位置,电子尺,传感器,时间,压力",0,-1,是,
D0719,4x0719,中子F进功能使用1,ushort,1字,1,,中子,false,动态文本,"不用,使用",0,-1,是,
D0720,4x0720,中子G进压力1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0721,4x0721,中子G进流量1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0722,4x0722,中子G进时间1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0723,4x0723,中子G进计数1,ushort,1字,1,,中子,false,,,0,-1,是,
D0724,4x0724,中子G进开始行程1,ushort,1字,1,,中子,false,,,0,-1,是,
D0725,4x0725,中子G进开始位置1,int,2字,0.01,,中子,false,,,0,-1,是,
D0727,4x0727,中子G进开始方式1,ushort,1字,1,,中子,false,动态文本,"位置,电子尺,传感器,时间,压力",0,-1,是,
D0728,4x0728,中子G进终止方式1,ushort,1字,1,,中子,false,动态文本,"位置,电子尺,传感器,时间,压力",0,-1,是,
D0729,4x0729,中子G进功能使用1,ushort,1字,1,,中子,false,动态文本,"不用,使用",0,-1,是,
D0730,4x0730,中子H进压力1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0731,4x0731,中子H进流量1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0732,4x0732,中子H进时间1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0733,4x0733,中子H进计数1,ushort,1字,1,,中子,false,,,0,-1,是,
D0734,4x0734,中子H进开始行程1,ushort,1字,1,,中子,false,,,0,-1,是,
D0735,4x0735,中子H进开始位置1,int,2字,0.01,,中子,false,,,0,-1,是,
D0737,4x0737,中子H进开始方式1,ushort,1字,1,,中子,false,动态文本,"位置,电子尺,传感器,时间,压力",0,-1,是,
D0738,4x0738,中子H进终止方式1,ushort,1字,1,,中子,false,动态文本,"位置,电子尺,传感器,时间,压力",0,-1,是,
D0739,4x0739,中子H进功能使用1,ushort,1字,1,,中子,false,动态文本,"不用,使用",0,-1,是,
D0750,4x0750,中子E退压力1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0751,4x0751,中子E退流量1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0752,4x0752,中子E退时间1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0753,4x0753,中子E退计数1,ushort,1字,1,,中子,false,,,0,-1,是,
D0754,4x0754,中子E退开始行程1,ushort,1字,1,,中子,false,,,0,-1,是,
D0755,4x0755,中子E退开始位置1,int,2字,0.01,,中子,false,,,0,-1,是,
D0757,4x0757,中子E退开始方式1,ushort,1字,1,,中子,false,动态文本,"位置,电子尺,传感器,时间,压力",0,-1,是,
D0758,4x0758,中子E退终止方式1,ushort,1字,1,,中子,false,动态文本,"位置,电子尺,传感器,时间,压力",0,-1,是,
D0759,4x0759,中子E退功能使用1,ushort,1字,1,,中子,false,动态文本,"不用,使用",0,-1,是,
D0760,4x0760,中子F退压力1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0761,4x0761,中子F退流量1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0762,4x0762,中子F退时间1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0763,4x0763,中子F退计数1,ushort,1字,1,,中子,false,,,0,-1,是,
D0764,4x0764,中子F退开始行程1,ushort,1字,1,,中子,false,,,0,-1,是,
D0765,4x0765,中子F退开始位置1,int,2字,0.01,,中子,false,,,0,-1,是,
D0767,4x0767,中子F退开始方式1,ushort,1字,1,,中子,false,动态文本,"位置,电子尺,传感器,时间,压力",0,-1,是,
D0768,4x0768,中子F退终止方式1,ushort,1字,1,,中子,false,动态文本,"位置,电子尺,传感器,时间,压力",0,-1,是,
D0769,4x0769,中子F退功能使用1,ushort,1字,1,,中子,false,动态文本,"不用,使用",0,-1,是,
D0770,4x0770,中子G退压力1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0771,4x0771,中子G退流量1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0772,4x0772,中子G退时间1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0773,4x0773,中子G退计数1,ushort,1字,1,,中子,false,,,0,-1,是,
D0774,4x0774,中子G退开始行程1,ushort,1字,1,,中子,false,,,0,-1,是,
D0775,4x0775,中子G退开始位置1,int,2字,0.01,,中子,false,,,0,-1,是,
D0777,4x0777,中子G退开始方式1,ushort,1字,1,,中子,false,动态文本,"位置,电子尺,传感器,时间,压力",0,-1,是,
D0778,4x0778,中子G退终止方式1,ushort,1字,1,,中子,false,动态文本,"位置,电子尺,传感器,时间,压力",0,-1,是,
D0779,4x0779,中子G退功能使用1,ushort,1字,1,,中子,false,动态文本,"不用,使用",0,-1,是,
D0780,4x0780,中子H退压力1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0781,4x0781,中子H退流量1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0782,4x0782,中子H退时间1,ushort,1字,0.1,,中子,false,,,0,-1,是,
D0783,4x0783,中子H退计数1,ushort,1字,1,,中子,false,,,0,-1,是,
D0784,4x0784,中子H退开始行程1,ushort,1字,1,,中子,false,,,0,-1,是,
D0785,4x0785,中子H退开始位置1,int,2字,0.01,,中子,false,,,0,-1,是,
D0787,4x0787,中子H退开始方式1,ushort,1字,1,,中子,false,动态文本,"位置,电子尺,传感器,时间,压力",0,-1,是,
D0788,4x0788,中子H退终止方式1,ushort,1字,1,,中子,false,动态文本,"位置,电子尺,传感器,时间,压力",0,-1,是,
D0789,4x0789,中子H退功能使用1,ushort,1字,1,,中子,false,动态文本,"不用,使用",0,-1,是,
D0800,4x0800,设定设定1,ushort,1字,1,,温度,false,,,0,-1,是,
D0801,4x0801,设定设定2,ushort,1字,1,,温度,false,,,0,-1,是,
D0802,4x0802,设定设定3,ushort,1字,1,,温度,false,,,0,-1,是,
D0803,4x0803,设定设定4,ushort,1字,1,,温度,false,,,0,-1,是,
D0804,4x0804,设定设定5,ushort,1字,1,,温度,false,,,0,-1,是,
D0805,4x0805,设定设定6,ushort,1字,1,,温度,false,,,0,-1,是,
D0806,4x0806,设定设定7,ushort,1字,1,,温度,false,,,0,-1,是,
D0807,4x0807,设定设定8,ushort,1字,1,,温度,false,,,0,-1,是,
D0808,4x0808,设定设定9,ushort,1字,1,,温度,false,,,0,-1,是,
D0809,4x0809,设定设定10,ushort,1字,1,,温度,false,,,0,-1,是,
D0810,4x0810,设定设定11,ushort,1字,1,,温度,false,,,0,-1,是,
D0811,4x0811,设定设定12,ushort,1字,1,,温度,false,,,0,-1,是,
D0812,4x0812,上限上限1,ushort,1字,1,,温度,false,,,0,-1,是,
D0813,4x0813,上限上限2,ushort,1字,1,,温度,false,,,0,-1,是,
D0814,4x0814,上限上限3,ushort,1字,1,,温度,false,,,0,-1,是,
D0815,4x0815,上限上限4,ushort,1字,1,,温度,false,,,0,-1,是,
D0816,4x0816,上限上限5,ushort,1字,1,,温度,false,,,0,-1,是,
D0817,4x0817,上限上限6,ushort,1字,1,,温度,false,,,0,-1,是,
D0818,4x0818,上限上限7,ushort,1字,1,,温度,false,,,0,-1,是,
D0819,4x0819,上限上限8,ushort,1字,1,,温度,false,,,0,-1,是,
D0820,4x0820,上限上限9,ushort,1字,1,,温度,false,,,0,-1,是,
D0821,4x0821,上限上限10,ushort,1字,1,,温度,false,,,0,-1,是,
D0822,4x0822,上限上限11,ushort,1字,1,,温度,false,,,0,-1,是,
D0823,4x0823,上限上限12,ushort,1字,1,,温度,false,,,0,-1,是,
D0824,4x0824,下限下限1,ushort,1字,1,,温度,false,,,0,-1,是,
D0825,4x0825,下限下限2,ushort,1字,1,,温度,false,,,0,-1,是,
D0826,4x0826,下限下限3,ushort,1字,1,,温度,false,,,0,-1,是,
D0827,4x0827,下限下限4,ushort,1字,1,,温度,false,,,0,-1,是,
D0828,4x0828,下限下限5,ushort,1字,1,,温度,false,,,0,-1,是,
D0829,4x0829,下限下限6,ushort,1字,1,,温度,false,,,0,-1,是,
D0830,4x0830,下限下限7,ushort,1字,1,,温度,false,,,0,-1,是,
D0831,4x0831,下限下限8,ushort,1字,1,,温度,false,,,0,-1,是,
D0832,4x0832,下限下限9,ushort,1字,1,,温度,false,,,0,-1,是,
D0833,4x0833,下限下限10,ushort,1字,1,,温度,false,,,0,-1,是,
D0834,4x0834,下限下限11,ushort,1字,1,,温度,false,,,0,-1,是,
D0835,4x0835,下限下限12,ushort,1字,1,,温度,false,,,0,-1,是,
D0836,4x0836,状态状态1,ushort,1字,1,,温度,false,,,0,-1,是,
D0837,4x0837,状态状态2,ushort,1字,1,,温度,false,,,0,-1,是,
D0838,4x0838,状态状态3,ushort,1字,1,,温度,false,,,0,-1,是,
D0839,4x0839,状态状态4,ushort,1字,1,,温度,false,,,0,-1,是,
D0840,4x0840,状态状态5,ushort,1字,1,,温度,false,,,0,-1,是,
D0841,4x0841,状态状态6,ushort,1字,1,,温度,false,,,0,-1,是,
D0842,4x0842,状态状态7,ushort,1字,1,,温度,false,,,0,-1,是,
D0843,4x0843,状态状态8,ushort,1字,1,,温度,false,,,0,-1,是,
D0844,4x0844,状态状态9,ushort,1字,1,,温度,false,,,0,-1,是,
D0845,4x0845,状态状态10,ushort,1字,1,,温度,false,,,0,-1,是,
D0846,4x0846,状态状态11,ushort,1字,1,,温度,false,,,0,-1,是,
D0847,4x0847,状态状态12,ushort,1字,1,,温度,false,,,0,-1,是,
D0850,4x0850,保温设定1,ushort,1字,1,,温度,false,,,0,-1,是,
D0851,4x0851,保温设定2,ushort,1字,1,,温度,false,,,0,-1,是,
D0852,4x0852,保温设定3,ushort,1字,1,,温度,false,,,0,-1,是,
D0853,4x0853,保温设定4,ushort,1字,1,,温度,false,,,0,-1,是,
D0854,4x0854,保温设定5,ushort,1字,1,,温度,false,,,0,-1,是,
D0855,4x0855,保温设定6,ushort,1字,1,,温度,false,,,0,-1,是,
D0856,4x0856,保温设定7,ushort,1字,1,,温度,false,,,0,-1,是,
D0857,4x0857,保温设定8,ushort,1字,1,,温度,false,,,0,-1,是,
D0858,4x0858,保温设定9,ushort,1字,1,,温度,false,,,0,-1,是,
D0859,4x0859,保温设定10,ushort,1字,1,,温度,false,,,0,-1,是,
D0860,4x0860,保温设定11,ushort,1字,1,,温度,false,,,0,-1,是,
D0861,4x0861,保温设定12,ushort,1字,1,,温度,false,,,0,-1,是,
D0890,4x0890,功能射咀方式,ushort,1字,1,,温度,false,动态文本,"开环,闭环",0,-1,是,
D0891,4x0891,功能射咀控制周期,ushort,1字,1,s,温度,false,,,0,-1,是,
D0892,4x0892,功能射咀百分比,ushort,1字,1,%,温度,false,,,0,-1,是,
D0893,4x0893,功能螺杆冷启动,ushort,1字,1,,温度,false,,,0,-1,是,
D0894,4x0894,功能保温功能,ushort,1字,1,,温度,false,动态文本,"不用,使用",0,-1,是,
D0895,4x0895,功能保温低于设定值,ushort,1字,1,℃,温度,false,,,0,-1,是,
D0896,4x0896,功能_12,ushort,1字,1,,温度,false,,,0,-1,是,
D0897,4x0897,功能_17,ushort,1字,1,,温度,false,,,0,-1,是,
D0898,4x0898,功能_22,ushort,1字,1,,温度,false,,,0,-1,是,
D0899,4x0899,功能版本号,ushort,1字,1,,温度,false,,,0,-1,是,
