工作表,行,列,原始地址(HMI),Modbus地址(0-based),FUXA地址(1-based),标签名,类型,字数,比例
D5,4,2,D5000,4x5000,4X5001,射压实时1,ushort,1字,1
D5,5,2,D5001,4x5001,4X5002,射压实时2,ushort,1字,1
D5,6,2,D5002,4x5002,4X5003,射压实时3,ushort,1字,1
D5,7,2,D5003,4x5003,4X5004,射压实时4,ushort,1字,1
D5,8,2,D5004,4x5004,4X5005,射压实时5,ushort,1字,1
D5,9,2,D5005,4x5005,4X5006,射压实时6,ushort,1字,1
D5,10,2,D5006,4x5006,4X5007,射压实时7,ushort,1字,1
D5,11,2,D5007,4x5007,4X5008,射压实时8,ushort,1字,1
D5,12,2,D5008,4x5008,4X5009,射压实时9,ushort,1字,1
D5,13,2,D5009,4x5009,4X5010,射压实时10,ushort,1字,1
D5,14,2,D5010,4x5010,4X5011,射压实时11,ushort,1字,1
D5,15,2,D5011,4x5011,4X5012,射压实时12,ushort,1字,1
D5,16,2,D5012,4x5012,4X5013,射压实时13,ushort,1字,1
D5,17,2,D5013,4x5013,4X5014,射压实时14,ushort,1字,1
D5,18,2,D5014,4x5014,4X5015,射压实时15,ushort,1字,1
D5,19,2,D5015,4x5015,4X5016,射压实时16,ushort,1字,1
D5,20,2,D5016,4x5016,4X5017,射压实时17,ushort,1字,1
D5,21,2,D5017,4x5017,4X5018,射压实时18,ushort,1字,1
D5,22,2,D5018,4x5018,4X5019,射压实时19,ushort,1字,1
D5,23,2,D5019,4x5019,4X5020,射压实时20,ushort,1字,1
D5,24,2,D5020,4x5020,4X5021,射压实时21,ushort,1字,1
D5,25,2,D5021,4x5021,4X5022,射压实时22,ushort,1字,1
D5,26,2,D5022,4x5022,4X5023,射压实时23,ushort,1字,1
D5,27,2,D5023,4x5023,4X5024,射压实时24,ushort,1字,1
D5,28,2,D5024,4x5024,4X5025,射压实时25,ushort,1字,1
D5,29,2,D5025,4x5025,4X5026,射压实时26,ushort,1字,1
D5,30,2,D5026,4x5026,4X5027,射压实时27,ushort,1字,1
D5,31,2,D5027,4x5027,4X5028,射压实时28,ushort,1字,1
D5,32,2,D5028,4x5028,4X5029,射压实时29,ushort,1字,1
D5,33,2,D5029,4x5029,4X5030,射压实时30,ushort,1字,1
D5,34,2,D5030,4x5030,4X5031,射压实时31,ushort,1字,1
D5,35,2,D5031,4x5031,4X5032,射压实时32,ushort,1字,1
D5,36,2,D5032,4x5032,4X5033,射压实时33,ushort,1字,1
D5,37,2,D5033,4x5033,4X5034,射压实时34,ushort,1字,1
D5,38,2,D5034,4x5034,4X5035,射压实时35,ushort,1字,1
D5,39,2,D5035,4x5035,4X5036,射压实时36,ushort,1字,1
D5,40,2,D5036,4x5036,4X5037,射压实时37,ushort,1字,1
D5,41,2,D5037,4x5037,4X5038,射压实时38,ushort,1字,1
D5,42,2,D5038,4x5038,4X5039,射压实时39,ushort,1字,1
D5,43,2,D5039,4x5039,4X5040,射压实时40,ushort,1字,1
D5,4,4,D5050,4x5050,4X5051,射速实时1,ushort,1字,1
D5,5,4,D5051,4x5051,4X5052,射速实时2,ushort,1字,1
D5,6,4,D5052,4x5052,4X5053,射速实时3,ushort,1字,1
D5,7,4,D5053,4x5053,4X5054,射速实时4,ushort,1字,1
D5,8,4,D5054,4x5054,4X5055,射速实时5,ushort,1字,1
D5,9,4,D5055,4x5055,4X5056,射速实时6,ushort,1字,1
D5,10,4,D5056,4x5056,4X5057,射速实时7,ushort,1字,1
D5,11,4,D5057,4x5057,4X5058,射速实时8,ushort,1字,1
D5,12,4,D5058,4x5058,4X5059,射速实时9,ushort,1字,1
D5,13,4,D5059,4x5059,4X5060,射速实时10,ushort,1字,1
D5,14,4,D5060,4x5060,4X5061,射速实时11,ushort,1字,1
D5,15,4,D5061,4x5061,4X5062,射速实时12,ushort,1字,1
D5,16,4,D5062,4x5062,4X5063,射速实时13,ushort,1字,1
D5,17,4,D5063,4x5063,4X5064,射速实时14,ushort,1字,1
D5,18,4,D5064,4x5064,4X5065,射速实时15,ushort,1字,1
D5,19,4,D5065,4x5065,4X5066,射速实时16,ushort,1字,1
D5,20,4,D5066,4x5066,4X5067,射速实时17,ushort,1字,1
D5,21,4,D5067,4x5067,4X5068,射速实时18,ushort,1字,1
D5,22,4,D5068,4x5068,4X5069,射速实时19,ushort,1字,1
D5,23,4,D5069,4x5069,4X5070,射速实时20,ushort,1字,1
D5,24,4,D5070,4x5070,4X5071,射速实时21,ushort,1字,1
D5,25,4,D5071,4x5071,4X5072,射速实时22,ushort,1字,1
D5,26,4,D5072,4x5072,4X5073,射速实时23,ushort,1字,1
D5,27,4,D5073,4x5073,4X5074,射速实时24,ushort,1字,1
D5,28,4,D5074,4x5074,4X5075,射速实时25,ushort,1字,1
D5,29,4,D5075,4x5075,4X5076,射速实时26,ushort,1字,1
D5,30,4,D5076,4x5076,4X5077,射速实时27,ushort,1字,1
D5,31,4,D5077,4x5077,4X5078,射速实时28,ushort,1字,1
D5,32,4,D5078,4x5078,4X5079,射速实时29,ushort,1字,1
D5,33,4,D5079,4x5079,4X5080,射速实时30,ushort,1字,1
D5,34,4,D5080,4x5080,4X5081,射速实时31,ushort,1字,1
D5,35,4,D5081,4x5081,4X5082,射速实时32,ushort,1字,1
D5,36,4,D5082,4x5082,4X5083,射速实时33,ushort,1字,1
D5,37,4,D5083,4x5083,4X5084,射速实时34,ushort,1字,1
D5,38,4,D5084,4x5084,4X5085,射速实时35,ushort,1字,1
D5,39,4,D5085,4x5085,4X5086,射速实时36,ushort,1字,1
D5,40,4,D5086,4x5086,4X5087,射速实时37,ushort,1字,1
D5,41,4,D5087,4x5087,4X5088,射速实时38,ushort,1字,1
D5,42,4,D5088,4x5088,4X5089,射速实时39,ushort,1字,1
D5,43,4,D5089,4x5089,4X5090,射速实时40,ushort,1字,1
D5,4,6,D5100,4x5100,4X5101,合模P启动,ushort,1字,1
D5,5,6,D5101,4x5101,4X5102,合模P中间,ushort,1字,1
D5,6,6,D5102,4x5102,4X5103,合模P停止,ushort,1字,1
D5,7,6,D5103,4x5103,4X5104,合模P中途停止,ushort,1字,1
D5,8,6,D5104,4x5104,4X5105,合模F启动,ushort,1字,1
D5,9,6,D5105,4x5105,4X5106,合模F中间,ushort,1字,1
D5,10,6,D5106,4x5106,4X5107,合模F停止,ushort,1字,1
D5,11,6,D5107,4x5107,4X5108,合模F中途停止,ushort,1字,1
D5,14,6,D5110,4x5110,4X5111,开模P启动,ushort,1字,1
D5,15,6,D5111,4x5111,4X5112,开模P中间,ushort,1字,1
D5,16,6,D5112,4x5112,4X5113,开模P停止,ushort,1字,1
D5,17,6,D5113,4x5113,4X5114,开模P中途停止,ushort,1字,1
D5,18,6,D5114,4x5114,4X5115,开模F启动,ushort,1字,1
D5,19,6,D5115,4x5115,4X5116,开模F中间,ushort,1字,1
D5,20,6,D5116,4x5116,4X5117,开模F停止,ushort,1字,1
D5,21,6,D5117,4x5117,4X5118,开模F中途停止,ushort,1字,1
D5,24,6,D5120,4x5120,4X5121,托模进P启动,ushort,1字,1
D5,25,6,D5121,4x5121,4X5122,托模进P中间,ushort,1字,1
D5,26,6,D5122,4x5122,4X5123,托模进P停止,ushort,1字,1
D5,27,6,D5123,4x5123,4X5124,托模进F启动,ushort,1字,1
D5,28,6,D5124,4x5124,4X5125,托模进F中间,ushort,1字,1
D5,29,6,D5125,4x5125,4X5126,托模进F停止,ushort,1字,1
D5,32,6,D5128,4x5128,4X5129,托模退P启动,ushort,1字,1
D5,33,6,D5129,4x5129,4X5130,托模退P中间,ushort,1字,1
D5,34,6,D5130,4x5130,4X5131,托模退P停止,ushort,1字,1
D5,35,6,D5131,4x5131,4X5132,托模退F启动,ushort,1字,1
D5,36,6,D5132,4x5132,4X5133,托模退F中间,ushort,1字,1
D5,37,6,D5133,4x5133,4X5134,托模退F停止,ushort,1字,1
D5,40,6,D5136,4x5136,4X5137,座台进P启动,ushort,1字,1
D5,41,6,D5137,4x5137,4X5138,座台进P中间,ushort,1字,1
D5,42,6,D5138,4x5138,4X5139,座台进P停止,ushort,1字,1
D5,43,6,D5139,4x5139,4X5140,座台进F启动,ushort,1字,1
D5,44,6,D5140,4x5140,4X5141,座台进F中间,ushort,1字,1
D5,45,6,D5141,4x5141,4X5142,座台进F停止,ushort,1字,1
D5,48,6,D5144,4x5144,4X5145,座台退P启动,ushort,1字,1
D5,49,6,D5145,4x5145,4X5146,座台退P中间,ushort,1字,1
D5,50,6,D5146,4x5146,4X5147,座台退P停止,ushort,1字,1
D5,51,6,D5147,4x5147,4X5148,座台退F启动,ushort,1字,1
D5,52,6,D5148,4x5148,4X5149,座台退F中间,ushort,1字,1
D5,53,6,D5149,4x5149,4X5150,座台退F停止,ushort,1字,1
D5,4,8,D5150,4x5150,4X5151,射出P启动,ushort,1字,1
D5,5,8,D5151,4x5151,4X5152,射出P中间,ushort,1字,1
D5,6,8,D5152,4x5152,4X5153,射出P停止,ushort,1字,1
D5,7,8,D5153,4x5153,4X5154,射出F启动,ushort,1字,1
D5,8,8,D5154,4x5154,4X5155,射出F中间,ushort,1字,1
D5,9,8,D5155,4x5155,4X5156,射出F停止,ushort,1字,1
D5,12,8,D5158,4x5158,4X5159,保压P启动,ushort,1字,1
D5,13,8,D5159,4x5159,4X5160,保压P中间,ushort,1字,1
D5,14,8,D5160,4x5160,4X5161,保压P停止,ushort,1字,1
D5,15,8,D5161,4x5161,4X5162,保压F启动,ushort,1字,1
D5,16,8,D5162,4x5162,4X5163,保压F中间,ushort,1字,1
D5,17,8,D5163,4x5163,4X5164,保压F停止,ushort,1字,1
D5,20,8,D5166,4x5166,4X5167,射退P启动,ushort,1字,1
D5,21,8,D5167,4x5167,4X5168,射退P中间,ushort,1字,1
D5,22,8,D5168,4x5168,4X5169,射退P停止,ushort,1字,1
D5,23,8,D5169,4x5169,4X5170,射退F启动,ushort,1字,1
D5,24,8,D5170,4x5170,4X5171,射退F中间,ushort,1字,1
D5,25,8,D5171,4x5171,4X5172,射退F停止,ushort,1字,1
D5,28,8,D5174,4x5174,4X5175,储料P启动,ushort,1字,1
D5,29,8,D5175,4x5175,4X5176,储料P中间,ushort,1字,1
D5,30,8,D5176,4x5176,4X5177,储料P停止,ushort,1字,1
D5,31,8,D5177,4x5177,4X5178,储料F启动,ushort,1字,1
D5,32,8,D5178,4x5178,4X5179,储料F中间,ushort,1字,1
D5,33,8,D5179,4x5179,4X5180,储料F停止,ushort,1字,1
D5,36,8,D5182,4x5182,4X5183,备用P启动,ushort,1字,1
D5,37,8,D5183,4x5183,4X5184,备用P中间,ushort,1字,1
D5,38,8,D5184,4x5184,4X5185,备用P停止,ushort,1字,1
D5,39,8,D5185,4x5185,4X5186,备用F启动,ushort,1字,1
D5,40,8,D5186,4x5186,4X5187,备用F中间,ushort,1字,1
D5,41,8,D5187,4x5187,4X5188,备用F停止,ushort,1字,1
D5,44,8,D5190,4x5190,4X5191,备用P启动_1,ushort,1字,1
D5,45,8,D5191,4x5191,4X5192,备用P中间_1,ushort,1字,1
D5,46,8,D5192,4x5192,4X5193,备用P停止_1,ushort,1字,1
D5,47,8,D5193,4x5193,4X5194,备用F启动_1,ushort,1字,1
D5,48,8,D5194,4x5194,4X5195,备用F中间_1,ushort,1字,1
D5,49,8,D5195,4x5195,4X5196,备用F停止_1,ushort,1字,1
