原始地址(HMI),Modbus地址(0-based),标签名,类型,字数,比例
D4000,4x4000,合模调模压力启动斜率,ushort,1字,0.1
D4001,4x4001,合模调模压力停止斜率,ushort,1字,0.1
D4002,4x4002,合模调模速度启动斜率,ushort,1字,1
D4003,4x4003,合模调模速度停止斜率,ushort,1字,1
D4004,4x4004,合模压力启动斜率,ushort,1字,0.1
D4005,4x4005,合模压力停止斜率,ushort,1字,0.1
D4006,4x4006,合模速度启动斜率,ushort,1字,1
D4007,4x4007,合模速度停止斜率,ushort,1字,1
D4010,4x4010,合模1段压力斜率,ushort,1字,0.1
D4011,4x4011,合模2段压力斜率,ushort,1字,0.1
D4012,4x4012,合模3段压力斜率,ushort,1字,0.1
D4013,4x4013,合模4段压力斜率,ushort,1字,0.1
D4014,4x4014,合模低压段压力斜率,ushort,1字,0.1
D4015,4x4015,合模高压段压力斜率,ushort,1字,0.1
D4017,4x4017,合模1段速度斜率,ushort,1字,1
D4018,4x4018,合模2段速度斜率,ushort,1字,1
D4019,4x4019,合模3段速度斜率,ushort,1字,1
D4020,4x4020,合模4段速度斜率,ushort,1字,1
D4021,4x4021,合模低压段速度斜率,ushort,1字,1
D4022,4x4022,合模高压段速度斜率,ushort,1字,1
D4025,4x4025,开模调模压力启动斜率,ushort,1字,0.1
D4026,4x4026,开模调模压力停止斜率,ushort,1字,0.1
D4027,4x4027,开模调模速度启动斜率,ushort,1字,1
D4028,4x4028,开模调模速度停止斜率,ushort,1字,1
D4029,4x4029,开模压力启动斜率,ushort,1字,0.1
D4030,4x4030,开模压力停止斜率,ushort,1字,0.1
D4031,4x4031,开模速度启动斜率,ushort,1字,1
D4032,4x4032,开模速度停止斜率,ushort,1字,1
D4035,4x4035,开模1段压力斜率,ushort,1字,0.1
D4036,4x4036,开模2段压力斜率,ushort,1字,0.1
D4037,4x4037,开模3段压力斜率,ushort,1字,0.1
D4038,4x4038,开模4段压力斜率,ushort,1字,0.1
D4039,4x4039,开模5段压力斜率,ushort,1字,0.1
D4040,4x4040,开模卸荷段压力斜率,ushort,1字,0.1
D4042,4x4042,开模1段速度斜率,ushort,1字,1
D4043,4x4043,开模2段速度斜率,ushort,1字,1
D4044,4x4044,开模3段速度斜率,ushort,1字,1
D4045,4x4045,开模4段速度斜率,ushort,1字,1
D4046,4x4046,开模5段速度斜率,ushort,1字,1
D4047,4x4047,开模卸荷段速度斜率,ushort,1字,1
D4050,4x4050,射出调模压力启动斜率,ushort,1字,0.1
D4051,4x4051,射出调模压力停止斜率,ushort,1字,0.1
D4052,4x4052,射出调模速度启动斜率,ushort,1字,1
D4053,4x4053,射出调模速度停止斜率,ushort,1字,1
D4054,4x4054,射出压力启动斜率,ushort,1字,0.1
D4055,4x4055,射出压力停止斜率,ushort,1字,0.1
D4056,4x4056,射出速度启动斜率,ushort,1字,1
D4057,4x4057,射出速度停止斜率,ushort,1字,1
D4060,4x4060,射出1段压力斜率,ushort,1字,0.1
D4061,4x4061,射出2段压力斜率,ushort,1字,0.1
D4062,4x4062,射出3段压力斜率,ushort,1字,0.1
D4063,4x4063,射出4段压力斜率,ushort,1字,0.1
D4064,4x4064,射出5段压力斜率,ushort,1字,0.1
D4065,4x4065,射出6段压力斜率,ushort,1字,0.1
D4066,4x4066,射出7段压力斜率,ushort,1字,0.1
D4067,4x4067,射出8段压力斜率,ushort,1字,0.1
D4068,4x4068,射出9段压力斜率,ushort,1字,0.1
D4069,4x4069,射出10段压力斜率,ushort,1字,0.1
D4070,4x4070,射出1段速度斜率,ushort,1字,1
D4071,4x4071,射出2段速度斜率,ushort,1字,1
D4072,4x4072,射出3段速度斜率,ushort,1字,1
D4073,4x4073,射出4段速度斜率,ushort,1字,1
D4074,4x4074,射出5段速度斜率,ushort,1字,1
D4075,4x4075,射出6段速度斜率,ushort,1字,1
D4076,4x4076,射出7段速度斜率,ushort,1字,1
D4077,4x4077,射出8段速度斜率,ushort,1字,1
D4078,4x4078,射出9段速度斜率,ushort,1字,1
D4079,4x4079,射出10段速度斜率,ushort,1字,1
D4080,4x4080,保压转换段压力斜率,ushort,1字,0.1
D4081,4x4081,保压1段压力斜率,ushort,1字,0.1
D4082,4x4082,保压2段压力斜率,ushort,1字,0.1
D4083,4x4083,保压3段压力斜率,ushort,1字,0.1
D4084,4x4084,保压4段压力斜率,ushort,1字,0.1
D4085,4x4085,保压5段压力斜率,ushort,1字,0.1
D4086,4x4086,保压6段压力斜率,ushort,1字,0.1
D4087,4x4087,保压7段压力斜率,ushort,1字,0.1
D4088,4x4088,保压8段压力斜率,ushort,1字,0.1
D4090,4x4090,保压转换段速度斜率,ushort,1字,1
D4091,4x4091,保压1段速度斜率,ushort,1字,1
D4092,4x4092,保压2段速度斜率,ushort,1字,1
D4093,4x4093,保压3段速度斜率,ushort,1字,1
D4094,4x4094,保压4段速度斜率,ushort,1字,1
D4095,4x4095,保压5段速度斜率,ushort,1字,1
D4096,4x4096,保压6段速度斜率,ushort,1字,1
D4097,4x4097,保压7段速度斜率,ushort,1字,1
D4098,4x4098,保压8段速度斜率,ushort,1字,1
D4100,4x4100,储料调模压力启动斜率,ushort,1字,0.1
D4101,4x4101,储料调模压力停止斜率,ushort,1字,0.1
