原始地址(HMI),Modbus地址(0-based),标签名,类型,字数,比例
D4102,4x4102,储料调模速度启动斜率,ushort,1字,1
D4103,4x4103,储料调模速度停止斜率,ushort,1字,1
D4104,4x4104,储料压力启动斜率,ushort,1字,0.1
D4105,4x4105,储料压力停止斜率,ushort,1字,0.1
D4106,4x4106,储料速度启动斜率,ushort,1字,1
D4107,4x4107,储料速度停止斜率,ushort,1字,1
D4110,4x4110,储料1段压力斜率,ushort,1字,0.1
D4111,4x4111,储料2段压力斜率,ushort,1字,0.1
D4112,4x4112,储料3段压力斜率,ushort,1字,0.1
D4113,4x4113,储料4段压力斜率,ushort,1字,0.1
D4114,4x4114,储料5段压力斜率,ushort,1字,0.1
D4115,4x4115,储料6段压力斜率,ushort,1字,0.1
D4116,4x4116,储料7段压力斜率,ushort,1字,0.1
D4117,4x4117,储料8段压力斜率,ushort,1字,0.1
D4120,4x4120,储料1段速度斜率,ushort,1字,1
D4121,4x4121,储料2段速度斜率,ushort,1字,1
D4122,4x4122,储料3段速度斜率,ushort,1字,1
D4123,4x4123,储料4段速度斜率,ushort,1字,1
D4124,4x4124,储料5段速度斜率,ushort,1字,1
D4125,4x4125,储料6段速度斜率,ushort,1字,1
D4126,4x4126,储料7段速度斜率,ushort,1字,1
D4127,4x4127,储料8段速度斜率,ushort,1字,1
D4131,4x4131,射退调模压力启动斜率,ushort,1字,0.1
D4132,4x4132,射退调模压力停止斜率,ushort,1字,0.1
D4133,4x4133,射退调模速度启动斜率,ushort,1字,1
D4134,4x4134,射退调模速度停止斜率,ushort,1字,1
D4135,4x4135,射退压力启动斜率,ushort,1字,0.1
D4136,4x4136,射退压力停止斜率,ushort,1字,0.1
D4137,4x4137,射退速度启动斜率,ushort,1字,1
D4138,4x4138,射退速度停止斜率,ushort,1字,1
D4140,4x4140,前射退段压力斜率,ushort,1字,0.1
D4141,4x4141,后射退段压力斜率,ushort,1字,0.1
D4142,4x4142,前射退段速度斜率,ushort,1字,1
D4143,4x4143,后射退段速度斜率,ushort,1字,1
D4150,4x4150,座台进调模压力启动斜率,ushort,1字,0.1
D4151,4x4151,座台进调模压力停止斜率,ushort,1字,0.1
D4152,4x4152,座台进调模速度启动斜率,ushort,1字,1
D4153,4x4153,座台进调模速度停止斜率,ushort,1字,1
D4154,4x4154,座台进压力启动斜率,ushort,1字,0.1
D4155,4x4155,座台进压力停止斜率,ushort,1字,0.1
D4156,4x4156,座台进速度启动斜率,ushort,1字,1
D4157,4x4157,座台进速度停止斜率,ushort,1字,1
D4160,4x4160,座台进1段压力斜率,ushort,1字,0.1
D4161,4x4161,座台进2段压力斜率,ushort,1字,0.1
D4165,4x4165,座台进1段速度斜率,ushort,1字,1
D4166,4x4166,座台进2段速度斜率,ushort,1字,1
D4175,4x4175,座台退调模压力启动斜率,ushort,1字,0.1
D4176,4x4176,座台退调模压力停止斜率,ushort,1字,0.1
D4177,4x4177,座台退调模速度启动斜率,ushort,1字,1
D4178,4x4178,座台退调模速度停止斜率,ushort,1字,1
D4179,4x4179,座台退压力启动斜率,ushort,1字,0.1
D4180,4x4180,座台退压力停止斜率,ushort,1字,0.1
D4181,4x4181,座台退速度启动斜率,ushort,1字,1
D4182,4x4182,座台退速度停止斜率,ushort,1字,1
D4185,4x4185,座台退1段压力斜率,ushort,1字,0.1
D4186,4x4186,座台退2段压力斜率,ushort,1字,0.1
D4190,4x4190,座台退1段速度斜率,ushort,1字,1
D4191,4x4191,座台退2段速度斜率,ushort,1字,1
D4200,4x4200,托模进调模压力启动斜率,ushort,1字,0.1
D4201,4x4201,托模进调模压力停止斜率,ushort,1字,0.1
D4202,4x4202,托模进调模速度启动斜率,ushort,1字,1
D4203,4x4203,托模进调模速度停止斜率,ushort,1字,1
D4204,4x4204,托模进压力启动斜率,ushort,1字,0.1
D4205,4x4205,托模进压力停止斜率,ushort,1字,0.1
D4206,4x4206,托模进速度启动斜率,ushort,1字,1
D4207,4x4207,托模进速度停止斜率,ushort,1字,1
D4210,4x4210,托模进1段压力斜率,ushort,1字,0.1
D4211,4x4211,托模进2段压力斜率,ushort,1字,0.1
D4212,4x4212,托模进3段压力斜率,ushort,1字,0.1
D4213,4x4213,托模保持段压力斜率,ushort,1字,0.1
D4215,4x4215,托模进1段速度斜率,ushort,1字,1
D4216,4x4216,托模进2段速度斜率,ushort,1字,1
D4217,4x4217,托模进3段速度斜率,ushort,1字,1
D4218,4x4218,托模保持段速度斜率,ushort,1字,1
D4225,4x4225,托模退调模压力启动斜率,ushort,1字,0.1
D4226,4x4226,托模退调模压力停止斜率,ushort,1字,0.1
D4227,4x4227,托模退调模速度启动斜率,ushort,1字,1
D4228,4x4228,托模退调模速度停止斜率,ushort,1字,1
D4229,4x4229,托模退压力启动斜率,ushort,1字,0.1
D4230,4x4230,托模退压力停止斜率,ushort,1字,0.1
D4231,4x4231,托模退速度启动斜率,ushort,1字,1
D4232,4x4232,托模退速度停止斜率,ushort,1字,1
D4235,4x4235,托模退1段压力斜率,ushort,1字,0.1
D4236,4x4236,托模退2段压力斜率,ushort,1字,0.1
D4237,4x4237,托模退3段压力斜率,ushort,1字,0.1
D4240,4x4240,托模退1段速度斜率,ushort,1字,1
D4241,4x4241,托模退2段速度斜率,ushort,1字,1
D4242,4x4242,托模退3段速度斜率,ushort,1字,1
D4250,4x4250,中子A进调模压力启动斜率,ushort,1字,0.1
D4251,4x4251,中子A进调模压力停止斜率,ushort,1字,0.1
D4252,4x4252,中子A进调模速度启动斜率,ushort,1字,1
D4253,4x4253,中子A进调模速度停止斜率,ushort,1字,1
D4254,4x4254,中子A进压力启动斜率,ushort,1字,0.1
D4255,4x4255,中子A进压力停止斜率,ushort,1字,0.1
D4256,4x4256,中子A进速度启动斜率,ushort,1字,1
D4257,4x4257,中子A进速度停止斜率,ushort,1字,1
D4260,4x4260,中子B进调模压力启动斜率,ushort,1字,0.1
D4261,4x4261,中子B进调模压力停止斜率,ushort,1字,0.1
D4262,4x4262,中子B进调模速度启动斜率,ushort,1字,1
D4263,4x4263,中子B进调模速度停止斜率,ushort,1字,1
D4264,4x4264,中子B进压力启动斜率,ushort,1字,0.1
D4265,4x4265,中子B进压力停止斜率,ushort,1字,0.1
D4266,4x4266,中子B进速度启动斜率,ushort,1字,1
D4267,4x4267,中子B进速度停止斜率,ushort,1字,1
D4270,4x4270,中子C进调模压力启动斜率,ushort,1字,0.1
D4271,4x4271,中子C进调模压力停止斜率,ushort,1字,0.1
D4272,4x4272,中子C进调模速度启动斜率,ushort,1字,1
D4273,4x4273,中子C进调模速度停止斜率,ushort,1字,1
D4274,4x4274,中子C进压力启动斜率,ushort,1字,0.1
D4275,4x4275,中子C进压力停止斜率,ushort,1字,0.1
D4276,4x4276,中子C进速度启动斜率,ushort,1字,1
D4277,4x4277,中子C进速度停止斜率,ushort,1字,1
D4280,4x4280,中子D进调模压力启动斜率,ushort,1字,0.1
D4281,4x4281,中子D进调模压力停止斜率,ushort,1字,0.1
D4282,4x4282,中子D进调模速度启动斜率,ushort,1字,1
D4283,4x4283,中子D进调模速度停止斜率,ushort,1字,1
D4284,4x4284,中子D进压力启动斜率,ushort,1字,0.1
D4285,4x4285,中子D进压力停止斜率,ushort,1字,0.1
D4286,4x4286,中子D进速度启动斜率,ushort,1字,1
D4287,4x4287,中子D进速度停止斜率,ushort,1字,1
D4300,4x4300,中子A退调模压力启动斜率,ushort,1字,0.1
D4301,4x4301,中子A退调模压力停止斜率,ushort,1字,0.1
D4302,4x4302,中子A退调模速度启动斜率,ushort,1字,1
D4303,4x4303,中子A退调模速度停止斜率,ushort,1字,1
D4304,4x4304,中子A退压力启动斜率,ushort,1字,0.1
D4305,4x4305,中子A退压力停止斜率,ushort,1字,0.1
D4306,4x4306,中子A退速度启动斜率,ushort,1字,1
D4307,4x4307,中子A退速度停止斜率,ushort,1字,1
D4310,4x4310,中子B退调模压力启动斜率,ushort,1字,0.1
D4311,4x4311,中子B退调模压力停止斜率,ushort,1字,0.1
D4312,4x4312,中子B退调模速度启动斜率,ushort,1字,1
D4313,4x4313,中子B退调模速度停止斜率,ushort,1字,1
D4314,4x4314,中子B退压力启动斜率,ushort,1字,0.1
D4315,4x4315,中子B退压力停止斜率,ushort,1字,0.1
D4316,4x4316,中子B退速度启动斜率,ushort,1字,1
D4317,4x4317,中子B退速度停止斜率,ushort,1字,1
D4320,4x4320,中子C退调模压力启动斜率,ushort,1字,0.1
D4321,4x4321,中子C退调模压力停止斜率,ushort,1字,0.1
D4322,4x4322,中子C退调模速度启动斜率,ushort,1字,1
D4323,4x4323,中子C退调模速度停止斜率,ushort,1字,1
D4324,4x4324,中子C退压力启动斜率,ushort,1字,0.1
D4325,4x4325,中子C退压力停止斜率,ushort,1字,0.1
D4326,4x4326,中子C退速度启动斜率,ushort,1字,1
D4327,4x4327,中子C退速度停止斜率,ushort,1字,1
D4330,4x4330,中子D退调模压力启动斜率,ushort,1字,0.1
D4331,4x4331,中子D退调模压力停止斜率,ushort,1字,0.1
D4332,4x4332,中子D退调模速度启动斜率,ushort,1字,1
D4333,4x4333,中子D退调模速度停止斜率,ushort,1字,1
D4334,4x4334,中子D退压力启动斜率,ushort,1字,0.1
D4335,4x4335,中子D退压力停止斜率,ushort,1字,0.1
D4336,4x4336,中子D退速度启动斜率,ushort,1字,1
D4337,4x4337,中子D退速度停止斜率,ushort,1字,1
D4350,4x4350,中子E进调模压力启动斜率,ushort,1字,0.1
D4351,4x4351,中子E进调模压力停止斜率,ushort,1字,0.1
D4352,4x4352,中子E进调模速度启动斜率,ushort,1字,1
D4353,4x4353,中子E进调模速度停止斜率,ushort,1字,1
D4354,4x4354,中子E进压力启动斜率,ushort,1字,0.1
D4355,4x4355,中子E进压力停止斜率,ushort,1字,0.1
D4356,4x4356,中子E进速度启动斜率,ushort,1字,1
D4357,4x4357,中子E进速度停止斜率,ushort,1字,1
D4360,4x4360,中子F进调模压力启动斜率,ushort,1字,0.1
D4361,4x4361,中子F进调模压力停止斜率,ushort,1字,0.1
D4362,4x4362,中子F进调模速度启动斜率,ushort,1字,1
D4363,4x4363,中子F进调模速度停止斜率,ushort,1字,1
D4364,4x4364,中子F进压力启动斜率,ushort,1字,0.1
D4365,4x4365,中子F进压力停止斜率,ushort,1字,0.1
D4366,4x4366,中子F进速度启动斜率,ushort,1字,1
D4367,4x4367,中子F进速度停止斜率,ushort,1字,1
D4370,4x4370,中子G进调模压力启动斜率,ushort,1字,0.1
D4371,4x4371,中子G进调模压力停止斜率,ushort,1字,0.1
D4372,4x4372,中子G进调模速度启动斜率,ushort,1字,1
D4373,4x4373,中子G进调模速度停止斜率,ushort,1字,1
D4374,4x4374,中子G进压力启动斜率,ushort,1字,0.1
D4375,4x4375,中子G进压力停止斜率,ushort,1字,0.1
D4376,4x4376,中子G进速度启动斜率,ushort,1字,1
D4377,4x4377,中子G进速度停止斜率,ushort,1字,1
D4380,4x4380,中子H进调模压力启动斜率,ushort,1字,0.1
D4381,4x4381,中子H进调模压力停止斜率,ushort,1字,0.1
D4382,4x4382,中子H进调模速度启动斜率,ushort,1字,1
D4383,4x4383,中子H进调模速度停止斜率,ushort,1字,1
D4384,4x4384,中子H进压力启动斜率,ushort,1字,0.1
D4385,4x4385,中子H进压力停止斜率,ushort,1字,0.1
D4386,4x4386,中子H进速度启动斜率,ushort,1字,1
D4387,4x4387,中子H进速度停止斜率,ushort,1字,1
D4400,4x4400,中子E退调模压力启动斜率,ushort,1字,0.1
D4401,4x4401,中子E退调模压力停止斜率,ushort,1字,0.1
D4402,4x4402,中子E退调模速度启动斜率,ushort,1字,1
D4403,4x4403,中子E退调模速度停止斜率,ushort,1字,1
D4404,4x4404,中子E退压力启动斜率,ushort,1字,0.1
D4405,4x4405,中子E退压力停止斜率,ushort,1字,0.1
D4406,4x4406,中子E退速度启动斜率,ushort,1字,1
D4407,4x4407,中子E退速度停止斜率,ushort,1字,1
D4410,4x4410,中子F退调模压力启动斜率,ushort,1字,0.1
D4411,4x4411,中子F退调模压力停止斜率,ushort,1字,0.1
D4412,4x4412,中子F退调模速度启动斜率,ushort,1字,1
D4413,4x4413,中子F退调模速度停止斜率,ushort,1字,1
D4414,4x4414,中子F退压力启动斜率,ushort,1字,0.1
D4415,4x4415,中子F退压力停止斜率,ushort,1字,0.1
D4416,4x4416,中子F退速度启动斜率,ushort,1字,1
D4417,4x4417,中子F退速度停止斜率,ushort,1字,1
D4420,4x4420,中子G退调模压力启动斜率,ushort,1字,0.1
D4421,4x4421,中子G退调模压力停止斜率,ushort,1字,0.1
D4422,4x4422,中子G退调模速度启动斜率,ushort,1字,1
D4423,4x4423,中子G退调模速度停止斜率,ushort,1字,1
D4424,4x4424,中子G退压力启动斜率,ushort,1字,0.1
D4425,4x4425,中子G退压力停止斜率,ushort,1字,0.1
D4426,4x4426,中子G退速度启动斜率,ushort,1字,1
D4427,4x4427,中子G退速度停止斜率,ushort,1字,1
D4430,4x4430,中子H退调模压力启动斜率,ushort,1字,0.1
D4431,4x4431,中子H退调模压力停止斜率,ushort,1字,0.1
D4432,4x4432,中子H退调模速度启动斜率,ushort,1字,1
D4433,4x4433,中子H退调模速度停止斜率,ushort,1字,1
D4434,4x4434,中子H退压力启动斜率,ushort,1字,0.1
D4435,4x4435,中子H退压力停止斜率,ushort,1字,0.1
D4436,4x4436,中子H退速度启动斜率,ushort,1字,1
D4437,4x4437,中子H退速度停止斜率,ushort,1字,1
