原始地址(HMI),Modbus地址(0-based),标签名,类型,字数,比例
D6000,4x6000,预调段数,ushort,1字,1
D6001,4x6001,预调流量,ushort,1字,0.01
D6003,4x6003,预调斜率,ushort,1字,1
D6006,4x6006,输出电流,ushort,1字,1
D6010,4x6010,设置值1,ushort,1字,1
D6011,4x6011,设置值2,ushort,1字,1
D6012,4x6012,设置值3,ushort,1字,1
D6013,4x6013,设置值4,ushort,1字,1
D6014,4x6014,设置值5,ushort,1字,1
D6015,4x6015,设置值6,ushort,1字,1
D6016,4x6016,设置值7,ushort,1字,1
D6017,4x6017,设置值8,ushort,1字,1
D6018,4x6018,设置值9,ushort,1字,1
D6019,4x6019,设置值10,ushort,1字,1
D6020,4x6020,设置值11,ushort,1字,1
D6021,4x6021,设置值12,ushort,1字,1
D6022,4x6022,设置值13,ushort,1字,1
D6023,4x6023,设置值14,ushort,1字,1
D6024,4x6024,设置值15,ushort,1字,1
D6025,4x6025,设置值16,ushort,1字,1
D6026,4x6026,设置值17,ushort,1字,1
D6027,4x6027,设置值18,ushort,1字,1
D6028,4x6028,设置值19,ushort,1字,1
D6029,4x6029,设置值20,ushort,1字,1
D6030,4x6030,设置值21,ushort,1字,1
D6031,4x6031,设置值22,ushort,1字,1
D6032,4x6032,设置值23,ushort,1字,1
D6033,4x6033,设置值24,ushort,1字,1
D6034,4x6034,设置值25,ushort,1字,1
D6040,4x6040,数据值1,ushort,1字,1
D6041,4x6041,数据值2,ushort,1字,1
D6042,4x6042,数据值3,ushort,1字,1
D6043,4x6043,数据值4,ushort,1字,1
D6044,4x6044,数据值5,ushort,1字,1
D6045,4x6045,数据值6,ushort,1字,1
D6046,4x6046,数据值7,ushort,1字,1
D6047,4x6047,数据值8,ushort,1字,1
D6048,4x6048,数据值9,ushort,1字,1
D6049,4x6049,数据值10,ushort,1字,1
D6050,4x6050,数据值11,ushort,1字,1
D6051,4x6051,数据值12,ushort,1字,1
D6052,4x6052,数据值13,ushort,1字,1
D6053,4x6053,数据值14,ushort,1字,1
D6054,4x6054,数据值15,ushort,1字,1
D6055,4x6055,数据值16,ushort,1字,1
D6056,4x6056,数据值17,ushort,1字,1
D6057,4x6057,数据值18,ushort,1字,1
D6058,4x6058,数据值19,ushort,1字,1
D6059,4x6059,数据值20,ushort,1字,1
D6060,4x6060,数据值21,ushort,1字,1
D6061,4x6061,数据值22,ushort,1字,1
D6062,4x6062,数据值23,ushort,1字,1
D6063,4x6063,数据值24,ushort,1字,1
D6064,4x6064,数据值25,ushort,1字,1
D6070,4x6070,开关值1,ushort,1字,1
D6071,4x6071,开关值2,ushort,1字,1
D6072,4x6072,开关值3,ushort,1字,1
D6073,4x6073,开关值4,ushort,1字,1
D6074,4x6074,开关值5,ushort,1字,1
D6075,4x6075,开关值6,ushort,1字,1
D6076,4x6076,开关值7,ushort,1字,1
D6077,4x6077,开关值8,ushort,1字,1
D6078,4x6078,开关值9,ushort,1字,1
D6079,4x6079,开关值10,ushort,1字,1
D6080,4x6080,开关值11,ushort,1字,1
D6081,4x6081,开关值12,ushort,1字,1
D6082,4x6082,开关值13,ushort,1字,1
D6083,4x6083,开关值14,ushort,1字,1
D6084,4x6084,开关值15,ushort,1字,1
D6085,4x6085,开关值16,ushort,1字,1
D6086,4x6086,开关值17,ushort,1字,1
D6087,4x6087,开关值18,ushort,1字,1
D6088,4x6088,开关值19,ushort,1字,1
D6089,4x6089,开关值20,ushort,1字,1
D6090,4x6090,开关值21,ushort,1字,1
D6091,4x6091,开关值22,ushort,1字,1
D6092,4x6092,开关值23,ushort,1字,1
D6093,4x6093,开关值24,ushort,1字,1
D6094,4x6094,开关值25,ushort,1字,1
