原始地址(HMI),Modbus地址(0-based),标签名,类型,字数,比例
D3398,4x3398,输入转移ON/OFF8,ushort,1字,1
D3400,4x3400,开消阀,ushort,1字,1
D3401,4x3401,合模自保,ushort,1字,1
D3402,4x3402,合模终止,ushort,1字,1
D3450,4x3450,座进停止方式,ushort,1字,1
D3451,4x3451,座退停止方式,ushort,1字,1
D3455,4x3455,托进停止方式,ushort,1字,1
D3456,4x3456,托退停止方式,ushort,1字,1
D3800,4x3800,功能1,ushort,1字,1
D3801,4x3801,功能2,ushort,1字,1
D3802,4x3802,功能3,ushort,1字,1
D3803,4x3803,功能4,ushort,1字,1
D3804,4x3804,功能5,ushort,1字,1
D3805,4x3805,功能6,ushort,1字,1
D3806,4x3806,功能7,ushort,1字,1
D3807,4x3807,功能8,ushort,1字,1
D3808,4x3808,功能9,ushort,1字,1
D3809,4x3809,功能10,ushort,1字,1
D3810,4x3810,功能11,ushort,1字,1
D3811,4x3811,功能12,ushort,1字,1
D3812,4x3812,P1,ushort,1字,1
D3813,4x3813,P2,ushort,1字,1
D3814,4x3814,P3,ushort,1字,1
D3815,4x3815,P4,ushort,1字,1
D3816,4x3816,P5,ushort,1字,1
D3817,4x3817,P6,ushort,1字,1
D3818,4x3818,P7,ushort,1字,1
D3819,4x3819,P8,ushort,1字,1
D3820,4x3820,P9,ushort,1字,1
D3821,4x3821,P10,ushort,1字,1
D3822,4x3822,P11,ushort,1字,1
D3823,4x3823,P12,ushort,1字,1
D3824,4x3824,D1,ushort,1字,1
D3825,4x3825,D2,ushort,1字,1
D3826,4x3826,D3,ushort,1字,1
D3827,4x3827,D4,ushort,1字,1
D3828,4x3828,D5,ushort,1字,1
D3829,4x3829,D6,ushort,1字,1
D3830,4x3830,D7,ushort,1字,1
D3831,4x3831,D8,ushort,1字,1
D3832,4x3832,D9,ushort,1字,1
D3833,4x3833,D10,ushort,1字,1
D3834,4x3834,D11,ushort,1字,1
D3835,4x3835,D12,ushort,1字,1
D3836,4x3836,温度补偿1,ushort,1字,1
D3837,4x3837,温度补偿2,ushort,1字,1
D3838,4x3838,温度补偿3,ushort,1字,1
D3839,4x3839,温度补偿4,ushort,1字,1
D3840,4x3840,温度补偿5,ushort,1字,1
D3841,4x3841,温度补偿6,ushort,1字,1
D3842,4x3842,温度补偿7,ushort,1字,1
D3843,4x3843,温度补偿8,ushort,1字,1
D3844,4x3844,温度补偿9,ushort,1字,1
D3845,4x3845,温度补偿10,ushort,1字,1
D3846,4x3846,温度补偿11,ushort,1字,1
D3847,4x3847,温度补偿12,ushort,1字,1
D3848,4x3848,接触器和固态继电器选择,ushort,1字,1
D3849,4x3849,温度设定上限,ushort,1字,1
