原始地址(HMI),Modbus地址(0-based),标签名,类型,字数,比例
D3000,4x3000,合模起始,ushort,1字,1
D3001,4x3001,合模结束,ushort,1字,1
D3002,4x3002,座进起始,ushort,1字,1
D3003,4x3003,座进结束,ushort,1字,1
D3004,4x3004,射出起始,ushort,1字,1
D3005,4x3005,射出结束,ushort,1字,1
D3006,4x3006,储料起始,ushort,1字,1
D3007,4x3007,储料结束,ushort,1字,1
D3008,4x3008,抽胶起始,ushort,1字,1
D3009,4x3009,抽胶结束,ushort,1字,1
D3010,4x3010,座退起始,ushort,1字,1
D3011,4x3011,座退结束,ushort,1字,1
D3012,4x3012,开模起始,ushort,1字,1
D3013,4x3013,开模结束,ushort,1字,1
D3014,4x3014,引阀起始,ushort,1字,1
D3015,4x3015,引阀结束,ushort,1字,1
D3016,4x3016,托模进起始,ushort,1字,1
D3017,4x3017,托模进结束,ushort,1字,1
D3018,4x3018,托模退起始,ushort,1字,1
D3019,4x3019,托模退结束,ushort,1字,1
D3100,4x3100,合模电子尺行程,int,2字,1
D3102,4x3102,合模机械行程,int,2字,1
D3104,4x3104,合模现在位置,int,2字,0.01
D3106,4x3106,合模绝对位置,int,2字,0.01
D3108,4x3108,合模限长,int,2字,1
D3110,4x3110,合模最小校正保存值,int,2字,1
D3112,4x3112,合模最大校正保存值,int,2字,1
D3114,4x3114,合模最小校正,ushort,1字,1
D3115,4x3115,合模最大校正,ushort,1字,1
D3116,4x3116,合模功能选择,ushort,1字,1
D3117,4x3117,合模,ushort,1字,1
D3118,4x3118,合模_1,ushort,1字,1
D3119,4x3119,合模_2,ushort,1字,1
D3120,4x3120,螺杆电子尺行程,int,2字,1
D3122,4x3122,螺杆机械行程,int,2字,1
D3124,4x3124,螺杆现在位置,int,2字,0.01
D3126,4x3126,螺杆绝对位置,int,2字,0.01
D3128,4x3128,螺杆限长,int,2字,1
D3130,4x3130,螺杆最小校正保存值,int,2字,1
D3132,4x3132,螺杆最大校正保存值,int,2字,1
D3134,4x3134,螺杆最小校正,ushort,1字,1
D3135,4x3135,螺杆最大校正,ushort,1字,1
D3136,4x3136,螺杆功能选择,ushort,1字,1
D3137,4x3137,螺杆,ushort,1字,1
D3138,4x3138,螺杆_1,ushort,1字,1
D3139,4x3139,螺杆_2,ushort,1字,1
D3140,4x3140,系统压功能1,ushort,1字,1
D3141,4x3141,系统压测量值1,ushort,1字,1
D3142,4x3142,系统压总长1,ushort,1字,1
D3143,4x3143,系统压限长1,ushort,1字,1
D3144,4x3144,系统压原点1,ushort,1字,1
D3145,4x3145,合模压功能1,ushort,1字,1
D3146,4x3146,合模压测量值1,ushort,1字,1
D3147,4x3147,合模压总长1,ushort,1字,1
D3148,4x3148,合模压限长1,ushort,1字,1
D3149,4x3149,合模压原点1,ushort,1字,1
D3150,4x3150,左托模电子尺行程,int,2字,1
D3152,4x3152,左托模机械行程,int,2字,1
D3154,4x3154,左托模现在位置,int,2字,0.01
D3156,4x3156,左托模绝对位置,int,2字,0.01
D3158,4x3158,左托模限长,int,2字,1
D3160,4x3160,左托模最小校正保存值,int,2字,1
D3162,4x3162,左托模最大校正保存值,int,2字,1
D3164,4x3164,左托模最小校正,ushort,1字,1
D3165,4x3165,左托模最大校正,ushort,1字,1
D3166,4x3166,左托模功能选择,ushort,1字,1
D3167,4x3167,左托模,ushort,1字,1
D3168,4x3168,左托模_1,ushort,1字,1
D3169,4x3169,左托模_2,ushort,1字,1
D3170,4x3170,右托模电子尺行程,int,2字,1
D3172,4x3172,右托模机械行程,int,2字,1
D3174,4x3174,右托模现在位置,int,2字,0.01
D3176,4x3176,右托模绝对位置,int,2字,0.01
D3178,4x3178,右托模限长,int,2字,1
D3180,4x3180,右托模最小校正保存值,int,2字,1
D3182,4x3182,右托模最大校正保存值,int,2字,1
D3184,4x3184,右托模最小校正,ushort,1字,1
D3185,4x3185,右托模最大校正,ushort,1字,1
D3186,4x3186,右托模功能选择,ushort,1字,1
D3187,4x3187,右托模,ushort,1字,1
D3188,4x3188,右托模_1,ushort,1字,1
D3189,4x3189,右托模_2,ushort,1字,1
D3190,4x3190,射出压功能1,ushort,1字,1
D3191,4x3191,射出压测量值1,ushort,1字,1
D3192,4x3192,射出压总长1,ushort,1字,1
D3193,4x3193,射出压限长1,ushort,1字,1
D3194,4x3194,射出压原点1,ushort,1字,1
D3195,4x3195,备用功能1,ushort,1字,1
D3196,4x3196,备用测量值1,ushort,1字,1
D3197,4x3197,备用总长1,ushort,1字,1
D3198,4x3198,备用限长1,ushort,1字,1
D3199,4x3199,备用原点1,ushort,1字,1
D3200,4x3200,座台电子尺行程,int,2字,1
D3202,4x3202,座台机械行程,int,2字,1
D3204,4x3204,座台现在位置,int,2字,0.01
D3206,4x3206,座台绝对位置,int,2字,0.01
D3208,4x3208,座台限长,int,2字,1
D3210,4x3210,座台最小校正保存值,int,2字,1
D3212,4x3212,座台最大校正保存值,int,2字,1
D3214,4x3214,座台最小校正,ushort,1字,1
D3215,4x3215,座台最大校正,ushort,1字,1
D3216,4x3216,座台功能选择,ushort,1字,1
D3217,4x3217,座台,ushort,1字,1
D3218,4x3218,座台_1,ushort,1字,1
D3219,4x3219,座台_2,ushort,1字,1
D3220,4x3220,移模电子尺行程,int,2字,1
D3222,4x3222,移模机械行程,int,2字,1
D3224,4x3224,移模现在位置,int,2字,0.01
D3226,4x3226,移模绝对位置,int,2字,0.01
D3228,4x3228,移模限长,int,2字,1
D3230,4x3230,移模最小校正保存值,int,2字,1
D3232,4x3232,移模最大校正保存值,int,2字,1
D3234,4x3234,移模最小校正,ushort,1字,1
D3235,4x3235,移模最大校正,ushort,1字,1
D3236,4x3236,移模功能选择,ushort,1字,1
D3237,4x3237,移模,ushort,1字,1
D3238,4x3238,移模_1,ushort,1字,1
D3239,4x3239,移模_2,ushort,1字,1
D3250,4x3250,备用电子尺行程,int,2字,1
D3252,4x3252,备用机械行程,int,2字,1
D3254,4x3254,备用现在位置,int,2字,0.01
D3256,4x3256,备用绝对位置,int,2字,0.01
D3258,4x3258,备用限长,int,2字,1
D3260,4x3260,备用最小校正保存值,int,2字,1
D3262,4x3262,备用最大校正保存值,int,2字,1
D3264,4x3264,备用最小校正,ushort,1字,1
D3265,4x3265,备用最大校正,ushort,1字,1
D3266,4x3266,备用功能选择,ushort,1字,1
D3267,4x3267,备用,ushort,1字,1
D3268,4x3268,备用_1,ushort,1字,1
D3269,4x3269,备用_2,ushort,1字,1
D3270,4x3270,备用电子尺行程_1,int,2字,1
D3272,4x3272,备用机械行程_1,int,2字,1
D3274,4x3274,备用现在位置_1,int,2字,0.01
D3276,4x3276,备用绝对位置_1,int,2字,0.01
D3278,4x3278,备用限长_1,int,2字,1
D3280,4x3280,备用最小校正保存值_1,int,2字,1
D3282,4x3282,备用最大校正保存值_1,int,2字,1
D3284,4x3284,备用最小校正_1,ushort,1字,1
D3285,4x3285,备用最大校正_1,ushort,1字,1
D3286,4x3286,备用功能选择_1,ushort,1字,1
D3287,4x3287,备用_3,ushort,1字,1
D3288,4x3288,备用_4,ushort,1字,1
D3289,4x3289,备用_5,ushort,1字,1
D3300,4x3300,电子尺行程合模压力,ushort,1字,0.1
D3301,4x3301,电子尺行程合模流量,ushort,1字,0.01
D3302,4x3302,机械行程开模压力,ushort,1字,0.1
D3303,4x3303,机械行程开模流量,ushort,1字,0.01
D3304,4x3304,现在位置座台压力,ushort,1字,0.1
D3305,4x3305,现在位置座台流量,ushort,1字,0.01
D3306,4x3306,绝对位置射出压力,ushort,1字,0.1
D3307,4x3307,绝对位置射出流量,ushort,1字,0.01
D3308,4x3308,限长托模压力,ushort,1字,0.1
D3309,4x3309,限长托模流量,ushort,1字,0.01
D3310,4x3310,最小校正保存值开模卸压压力,ushort,1字,0.1
D3311,4x3311,最小校正保存值开模卸压流量,ushort,1字,0.01
D3315,4x3315,最大压力,ushort,1字,0.1
D3330,4x3330,输入常开/常闭1,ushort,1字,1
D3331,4x3331,输入常开/常闭2,ushort,1字,1
D3332,4x3332,输入常开/常闭3,ushort,1字,1
D3333,4x3333,输入常开/常闭4,ushort,1字,1
D3334,4x3334,输入强制1,ushort,1字,1
D3335,4x3335,输入强制2,ushort,1字,1
D3336,4x3336,输入强制3,ushort,1字,1
D3337,4x3337,输入强制4,ushort,1字,1
D3338,4x3338,输入,ushort,1字,1
D3339,4x3339,输入不用/使用,ushort,1字,1
D3340,4x3340,输出常开/常闭1,ushort,1字,1
D3341,4x3341,输出常开/常闭2,ushort,1字,1
D3342,4x3342,输出常开/常闭3,ushort,1字,1
D3343,4x3343,输出常开/常闭4,ushort,1字,1
D3344,4x3344,输出强制1,ushort,1字,1
D3345,4x3345,输出强制2,ushort,1字,1
D3346,4x3346,输出强制3,ushort,1字,1
D3347,4x3347,输出强制4,ushort,1字,1
D3348,4x3348,输出,ushort,1字,1
D3349,4x3349,输出不用/使用,ushort,1字,1
D3350,4x3350,输出转移IN1,ushort,1字,1
D3351,4x3351,输出转移OUT1,ushort,1字,1
D3352,4x3352,输出转移ON/OFF1,ushort,1字,1
D3353,4x3353,输出转移IN2,ushort,1字,1
D3354,4x3354,输出转移OUT2,ushort,1字,1
D3355,4x3355,输出转移ON/OFF2,ushort,1字,1
D3356,4x3356,输出转移IN3,ushort,1字,1
D3357,4x3357,输出转移OUT3,ushort,1字,1
D3358,4x3358,输出转移ON/OFF3,ushort,1字,1
D3359,4x3359,输出转移IN4,ushort,1字,1
D3360,4x3360,输出转移OUT4,ushort,1字,1
D3361,4x3361,输出转移ON/OFF4,ushort,1字,1
D3362,4x3362,输出转移IN5,ushort,1字,1
D3363,4x3363,输出转移OUT5,ushort,1字,1
D3364,4x3364,输出转移ON/OFF5,ushort,1字,1
D3365,4x3365,输出转移IN6,ushort,1字,1
D3366,4x3366,输出转移OUT6,ushort,1字,1
D3367,4x3367,输出转移ON/OFF6,ushort,1字,1
D3368,4x3368,输出转移IN7,ushort,1字,1
D3369,4x3369,输出转移OUT7,ushort,1字,1
D3370,4x3370,输出转移ON/OFF7,ushort,1字,1
D3371,4x3371,输出转移IN8,ushort,1字,1
D3372,4x3372,输出转移OUT8,ushort,1字,1
D3373,4x3373,输出转移ON/OFF8,ushort,1字,1
D3375,4x3375,输入转移IN1,ushort,1字,1
D3376,4x3376,输入转移OUT1,ushort,1字,1
D3377,4x3377,输入转移ON/OFF1,ushort,1字,1
D3378,4x3378,输入转移IN2,ushort,1字,1
D3379,4x3379,输入转移OUT2,ushort,1字,1
D3380,4x3380,输入转移ON/OFF2,ushort,1字,1
D3381,4x3381,输入转移IN3,ushort,1字,1
D3382,4x3382,输入转移OUT3,ushort,1字,1
D3383,4x3383,输入转移ON/OFF3,ushort,1字,1
D3384,4x3384,输入转移IN4,ushort,1字,1
D3385,4x3385,输入转移OUT4,ushort,1字,1
D3386,4x3386,输入转移ON/OFF4,ushort,1字,1
D3387,4x3387,输入转移IN5,ushort,1字,1
D3388,4x3388,输入转移OUT5,ushort,1字,1
D3389,4x3389,输入转移ON/OFF5,ushort,1字,1
D3390,4x3390,输入转移IN6,ushort,1字,1
D3391,4x3391,输入转移OUT6,ushort,1字,1
D3392,4x3392,输入转移ON/OFF6,ushort,1字,1
D3393,4x3393,输入转移IN7,ushort,1字,1
D3394,4x3394,输入转移OUT7,ushort,1字,1
D3395,4x3395,输入转移ON/OFF7,ushort,1字,1
D3396,4x3396,输入转移IN8,ushort,1字,1
D3397,4x3397,输入转移OUT8,ushort,1字,1
